origin_dong,dest_dong,n
위례동,신흥2동,80
태평1동,성남동,72
판교동,운중동,70
성남동,하대원동,68
야탑1동,야탑3동,68
야탑3동,도촌동,62
하대원동,성남동,58
정자1동,금곡동,56
삼평동,백현동,54
복정동,위례동,54
상대원3동,상대원1동,52
정자동,정자1동,52
수진2동,성남동,52
성남동,위례동,50
성남동,금광2동,50
구미1동,금곡동,50
태평1동,수진2동,48
금곡동,구미1동,48
백현동,운중동,46
태평4동,태평2동,46
서현1동,분당동,46
금광2동,은행1동,44
야탑3동,야탑1동,44
야탑3동,성남동,42
성남동,수진2동,42
분당동,서현2동,42
은행1동,금광2동,42
서현2동,서현1동,42
금곡동,구미동,40
금곡동,정자1동,40
도촌동,야탑3동,40
금광2동,금광1동,40
서현1동,정자1동,40
성남동,신흥2동,40
상대원1동,상대원3동,40
구미1동,구미동,38
금광2동,성남동,38
야탑1동,도촌동,38
정자1동,수내1동,38
수내1동,정자1동,38
금광2동,위례동,36
정자1동,정자동,36
금광2동,신흥2동,36
성남동,신흥1동,34
정자1동,정자3동,34
백현동,서현1동,34
금광2동,은행2동,34
성남동,상대원1동,34
상대원1동,위례동,34
서현2동,분당동,34
태평2동,태평4동,34
구미동,구미1동,32
은행2동,위례동,32
상대원1동,성남동,32
삼평동,운중동,32
태평1동,복정동,32
운중동,판교동,32
정자2동,정자3동,32
백현동,삼평동,32
은행2동,성남동,32
정자1동,운중동,32
분당동,서현1동,30
이매1동,야탑1동,30
단대동,은행2동,30
단대동,위례동,30
야탑3동,삼평동,30
은행2동,금광2동,30
정자1동,백현동,30
백현동,이매1동,30
신흥3동,성남동,28
야탑1동,성남동,28
은행2동,은행1동,28
태평2동,신흥2동,28
수진2동,태평1동,28
단대동,성남동,28
태평2동,위례동,28
정자동,금곡동,28
삼평동,정자1동,28
태평2동,태평3동,28
금광1동,신흥2동,28
야탑1동,야탑2동,28
은행2동,양지동,26
도촌동,위례동,26
중앙동,신흥2동,26
정자동,정자2동,26
금광1동,금광2동,26
태평1동,태평3동,26
