sgg,dong,청년_인구,총인구
성남시 분당구,구미1동,3323,16037
성남시 분당구,구미동,5547,27854
성남시 분당구,금곡동,5201,26667
성남시 분당구,백현동,4846,26189
성남시 분당구,분당동,4612,24357
성남시 분당구,삼평동,4051,23520
성남시 분당구,서현1동,5987,30588
성남시 분당구,서현2동,3226,17215
성남시 분당구,수내1동,3317,17827
성남시 분당구,수내2동,1135,10344
성남시 분당구,수내3동,2305,13158
성남시 분당구,야탑1동,3613,16467
성남시 분당구,야탑2동,2493,15551
성남시 분당구,야탑3동,5733,26547
성남시 분당구,운중동,6306,38610
성남시 분당구,이매1동,4384,24534
성남시 분당구,이매2동,1961,12768
성남시 분당구,정자1동,6653,30369
성남시 분당구,정자2동,2912,13886
성남시 분당구,정자3동,3079,16491
성남시 분당구,정자동,3185,13712
성남시 분당구,판교동,3699,26324
성남시 수정구,고등동,2438,11670
성남시 수정구,단대동,2603,14102
성남시 수정구,복정동,3955,13540
성남시 수정구,산성동,807,4377
성남시 수정구,수진1동,1900,10701
성남시 수정구,수진2동,2797,14263
성남시 수정구,시흥동,1132,3592
성남시 수정구,신촌동,1195,4452
성남시 수정구,신흥1동,2334,11971
성남시 수정구,신흥2동,5804,31527
성남시 수정구,신흥3동,2209,10623
성남시 수정구,양지동,1700,8842
성남시 수정구,위례동,7242,45248
성남시 수정구,태평1동,3353,13530
성남시 수정구,태평2동,2900,13568
성남시 수정구,태평3동,2132,11497
성남시 수정구,태평4동,2292,10833
성남시 중원구,금광1동,3569,19592
성남시 중원구,금광2동,4859,23230
성남시 중원구,도촌동,4432,25686
성남시 중원구,상대원1동,4232,22293
성남시 중원구,상대원2동,491,2890
성남시 중원구,상대원3동,1921,11010
성남시 중원구,성남동,8130,31792
성남시 중원구,은행1동,2174,9259
성남시 중원구,은행2동,4081,20383
성남시 중원구,중앙동,2752,16540
성남시 중원구,하대원동,3670,19467
