month,dong_cluster,complaint_count,processed_count,processing_days_median,parking_count,parking_share
202401,고등동,3,3,0.0,0,0.0
202401,구미동,31,29,0.0,7,0.22580645161290322
202401,궁내동,7,7,0.0,1,0.14285714285714285
202401,금곡동,11,9,0.0,4,0.36363636363636365
202401,금광동,90,81,1.0,7,0.07777777777777778
202401,금토동,6,6,1.5,4,0.6666666666666666
202401,단대동,22,22,1.0,0,0.0
202401,대장동,7,6,0.0,0,0.0
202401,도촌동,1,1,1.0,0,0.0
202401,동원동,2,2,0.0,0,0.0
202401,백현동,21,21,0.0,1,0.047619047619047616
202401,복정동,3,3,1.0,0,0.0
202401,분당동,15,13,0.0,0,0.0
202401,삼평동,27,26,0.0,2,0.07407407407407407
202401,상대원동,54,50,0.0,5,0.09259259259259259
202401,상적동,3,3,1.0,0,0.0
202401,서현동,37,32,0.0,3,0.08108108108108109
202401,성남동,142,137,1.0,3,0.02112676056338028
202401,수내동,37,34,0.0,3,0.08108108108108109
202401,수진동,29,28,1.0,2,0.06896551724137931
202401,시흥동,7,7,1.0,0,0.0
202401,신흥동,55,49,1.0,3,0.05454545454545454
202401,심곡동,23,21,0.0,0,0.0
202401,야탑동,34,32,0.0,0,0.0
202401,양지동,6,5,1.0,0,0.0
202401,여수동,4,4,0.5,0,0.0
202401,운중동,13,12,0.0,4,0.3076923076923077
202401,은행동,88,85,0.0,3,0.03409090909090909
202401,이매동,15,11,0.0,1,0.06666666666666667
202401,정자동,70,68,0.0,2,0.02857142857142857
202401,중앙동,9,9,1.0,0,0.0
202401,창곡동,26,26,1.0,3,0.11538461538461539
202401,태평동,71,71,1.0,1,0.014084507042253521
202401,판교동,25,24,0.0,2,0.08
202401,하대원동,45,43,1.0,2,0.044444444444444446
202402,고등동,3,3,3.0,0,0.0
202402,구미동,26,23,0.0,2,0.07692307692307693
202402,궁내동,9,7,0.0,0,0.0
202402,금곡동,8,5,0.0,4,0.5
202402,금광동,112,86,1.0,9,0.08035714285714286
202402,금토동,6,6,0.0,0,0.0
202402,단대동,21,12,1.0,0,0.0
202402,대장동,4,4,0.0,0,0.0
202402,도촌동,16,12,1.5,0,0.0
202402,백현동,22,19,0.0,1,0.045454545454545456
202402,복정동,4,4,3.0,0,0.0
202402,분당동,8,7,0.0,0,0.0
202402,산성동,2,1,1.0,0,0.0
202402,삼평동,14,12,0.0,1,0.07142857142857142
202402,상대원동,58,30,0.0,3,0.05172413793103448
202402,서현동,34,27,0.0,1,0.029411764705882353
202402,성남동,142,111,1.0,5,0.035211267605633804
202402,수내동,32,27,0.0,2,0.0625
202402,수진동,26,20,2.0,3,0.11538461538461539
202402,시흥동,14,14,1.0,2,0.14285714285714285
202402,신흥동,28,24,1.0,0,0.0
202402,심곡동,24,12,1.0,0,0.0
202402,야탑동,42,33,0.0,6,0.14285714285714285
202402,양지동,1,1,2.0,0,0.0
202402,여수동,3,2,1.0,0,0.0
202402,오야동,2,2,1.0,0,0.0
202402,운중동,15,13,0.0,1,0.06666666666666667
202402,은행동,88,56,2.0,1,0.011363636363636364
202402,이매동,7,7,0.0,1,0.14285714285714285
202402,정자동,40,36,0.0,5,0.125
202402,중앙동,38,35,3.0,0,0.0
202402,창곡동,17,12,1.0,5,0.29411764705882354
202402,태평동,34,28,1.0,7,0.20588235294117646
202402,판교동,19,15,0.0,2,0.10526315789473684
202402,하대원동,64,51,0.0,2,0.03125
202403,고등동,12,10,1.0,1,0.08333333333333333
202403,구미동,29,20,0.0,2,0.06896551724137931
202403,궁내동,6,6,0.0,0,0.0
202403,금곡동,13,10,0.0,3,0.23076923076923078
202403,금광동,169,124,1.0,9,0.05325443786982249
202403,금토동,3,1,0.0,0,0.0
202403,단대동,30,27,1.0,1,0.03333333333333333
202403,대장동,9,9,0.0,0,0.0
202403,도촌동,19,16,1.0,3,0.15789473684210525
202403,백현동,35,32,0.0,5,0.14285714285714285
202403,복정동,6,5,1.0,1,0.16666666666666666
202403,분당동,8,8,0.0,0,0.0
202403,사송동,1,1,0.0,0,0.0
202403,삼평동,26,22,0.0,2,0.07692307692307693
202403,상대원동,55,38,0.0,2,0.03636363636363636
202403,서현동,41,36,0.0,3,0.07317073170731707
202403,성남동,223,174,1.0,3,0.013452914798206279
202403,수내동,53,46,0.0,7,0.1320754716981132
202403,수진동,24,17,1.0,2,0.08333333333333333
202403,시흥동,16,16,0.0,0,0.0
202403,신흥동,32,27,0.0,1,0.03125
202403,심곡동,81,71,1.0,1,0.012345679012345678
202403,야탑동,52,48,0.0,0,0.0
202403,양지동,2,1,2.0,0,0.0
202403,여수동,13,11,1.0,0,0.0
202403,오야동,1,1,0.0,0,0.0
202403,운중동,30,23,0.0,0,0.0
202403,은행동,92,58,1.0,0,0.0
202403,이매동,17,15,0.0,2,0.11764705882352941
202403,정자동,76,70,0.0,3,0.039473684210526314
202403,중앙동,25,21,1.0,0,0.0
202403,창곡동,20,15,1.0,3,0.15
202403,태평동,27,18,1.0,4,0.14814814814814814
202403,판교동,12,11,0.0,0,0.0
202403,하대원동,47,40,0.0,2,0.0425531914893617
202404,고등동,9,8,0.0,0,0.0
202404,구미동,23,17,0.0,1,0.043478260869565216
202404,궁내동,9,9,0.0,1,0.1111111111111111
202404,금곡동,33,26,0.0,6,0.18181818181818182
202404,금광동,123,85,0.0,14,0.11382113821138211
202404,금토동,5,5,1.0,1,0.2
202404,단대동,26,22,0.0,5,0.19230769230769232
202404,대장동,13,7,0.0,0,0.0
202404,도촌동,11,9,0.0,0,0.0
202404,동원동,4,4,0.5,1,0.25
202404,백현동,33,31,0.0,5,0.15151515151515152
202404,복정동,35,34,0.0,4,0.11428571428571428
202404,분당동,13,13,0.0,0,0.0
202404,산성동,4,3,0.0,1,0.25
202404,삼평동,36,34,0.0,5,0.1388888888888889
202404,상대원동,99,87,0.0,5,0.050505050505050504
202404,상적동,3,3,0.0,0,0.0
202404,서현동,69,63,0.0,0,0.0
202404,성남동,196,167,1.0,8,0.04081632653061224
202404,수내동,39,35,0.0,2,0.05128205128205128
202404,수진동,49,45,0.0,3,0.061224489795918366
202404,시흥동,10,9,0.0,1,0.1
202404,신흥동,32,31,0.0,0,0.0
202404,심곡동,45,43,0.0,0,0.0
202404,야탑동,51,42,0.0,0,0.0
202404,양지동,8,6,0.5,0,0.0
202404,여수동,31,28,0.0,0,0.0
202404,오야동,5,0,,0,0.0
202404,운중동,22,19,0.0,2,0.09090909090909091
202404,은행동,79,57,1.0,0,0.0
202404,이매동,12,10,0.0,1,0.08333333333333333
202404,정자동,74,73,0.0,0,0.0
202404,중앙동,13,9,0.0,0,0.0
202404,창곡동,33,32,0.0,2,0.06060606060606061
202404,태평동,37,33,0.0,2,0.05405405405405406
202404,판교동,22,20,0.0,2,0.09090909090909091
202404,하대원동,33,29,1.0,1,0.030303030303030304
202405,갈현동,2,1,0.0,1,0.5
202405,고등동,11,10,0.0,1,0.09090909090909091
202405,구미동,207,150,0.0,1,0.004830917874396135
202405,궁내동,8,6,0.0,1,0.125
202405,금곡동,62,48,0.0,1,0.016129032258064516
202405,금광동,329,263,1.0,3,0.00911854103343465
202405,금토동,30,29,0.0,0,0.0
202405,단대동,36,20,0.0,0,0.0
202405,대장동,24,19,0.0,0,0.0
202405,도촌동,8,6,0.0,0,0.0
202405,동원동,2,2,0.0,0,0.0
202405,백현동,105,94,0.0,3,0.02857142857142857
202405,복정동,37,29,0.0,0,0.0
202405,분당동,67,42,0.0,0,0.0
202405,산성동,6,3,0.0,0,0.0
202405,삼평동,193,148,0.0,2,0.010362694300518135
202405,상대원동,102,83,1.0,1,0.00980392156862745
202405,서현동,341,326,0.0,3,0.008797653958944282
202405,성남동,512,208,1.0,3,0.005859375
202405,수내동,139,131,0.0,1,0.007194244604316547
202405,수진동,122,64,0.0,1,0.00819672131147541
202405,시흥동,11,7,0.0,0,0.0
202405,신흥동,166,144,0.0,2,0.012048192771084338
202405,심곡동,13,11,0.0,0,0.0
202405,야탑동,351,327,0.0,2,0.005698005698005698
202405,양지동,50,22,0.0,0,0.0
202405,여수동,57,40,1.0,1,0.017543859649122806
202405,오야동,3,3,0.0,0,0.0
202405,운중동,74,43,0.0,0,0.0
202405,율동,13,12,0.0,0,0.0
202405,은행동,273,183,1.0,0,0.0
202405,이매동,87,60,0.0,3,0.034482758620689655
202405,정자동,261,183,0.0,4,0.01532567049808429
202405,중앙동,56,48,1.0,0,0.0
202405,창곡동,45,28,0.0,0,0.0
202405,태평동,185,112,0.0,1,0.005405405405405406
202405,판교동,113,82,0.0,1,0.008849557522123894
202405,하대원동,32,15,1.0,0,0.0
202406,고등동,7,7,0.0,0,0.0
202406,구미동,45,35,0.0,7,0.15555555555555556
202406,궁내동,3,3,0.0,0,0.0
202406,금곡동,16,13,0.0,1,0.0625
202406,금광동,89,58,1.0,8,0.0898876404494382
202406,금토동,2,2,0.0,0,0.0
202406,단대동,33,27,0.0,2,0.06060606060606061
202406,대장동,5,4,0.0,1,0.2
202406,도촌동,11,3,1.0,0,0.0
202406,백현동,24,19,0.0,4,0.16666666666666666
202406,복정동,17,16,0.0,1,0.058823529411764705
202406,분당동,12,7,0.0,0,0.0
202406,사송동,2,2,0.0,0,0.0
202406,산성동,7,4,0.0,0,0.0
202406,삼평동,43,36,0.0,2,0.046511627906976744
202406,상대원동,40,25,1.0,1,0.025
202406,서현동,95,82,0.0,4,0.042105263157894736
202406,성남동,198,97,1.0,2,0.010101010101010102
202406,수내동,42,38,0.0,1,0.023809523809523808
202406,수진동,23,20,0.0,0,0.0
202406,시흥동,4,4,0.0,0,0.0
202406,신흥동,39,38,0.0,1,0.02564102564102564
202406,심곡동,32,32,0.0,0,0.0
202406,야탑동,51,44,0.0,7,0.13725490196078433
202406,양지동,8,6,0.0,1,0.125
202406,여수동,24,15,0.0,1,0.041666666666666664
202406,운중동,6,4,4.0,3,0.5
202406,은행동,79,56,1.0,1,0.012658227848101266
202406,이매동,16,7,0.0,1,0.0625
202406,정자동,46,33,0.0,4,0.08695652173913043
202406,중앙동,11,6,1.0,1,0.09090909090909091
202406,창곡동,18,15,0.0,2,0.1111111111111111
202406,태평동,57,44,0.0,4,0.07017543859649122
202406,판교동,27,25,0.0,0,0.0
202406,하대원동,28,21,1.0,2,0.07142857142857142
202407,갈현동,11,6,2.0,0,0.0
202407,고등동,11,8,2.0,0,0.0
202407,구미동,27,19,2.0,0,0.0
202407,궁내동,2,1,3.0,0,0.0
202407,금곡동,19,12,2.0,0,0.0
202407,금광동,19,13,2.0,0,0.0
202407,금토동,5,2,2.0,0,0.0
202407,단대동,3,0,,0,0.0
202407,대장동,3,1,1.0,0,0.0
202407,도촌동,9,4,2.0,0,0.0
202407,동원동,1,1,1.0,0,0.0
202407,백현동,21,14,2.0,0,0.0
202407,복정동,5,2,2.0,0,0.0
202407,분당동,7,5,1.0,0,0.0
202407,사송동,11,8,1.5,0,0.0
202407,삼평동,28,15,1.0,0,0.0
202407,상대원동,46,36,1.0,0,0.0
202407,서현동,21,13,2.0,0,0.0
202407,성남동,32,21,2.0,0,0.0
202407,수내동,31,18,1.0,0,0.0
202407,수진동,10,9,3.0,0,0.0
202407,시흥동,7,4,1.0,0,0.0
202407,신흥동,16,10,0.0,0,0.0
202407,심곡동,1,1,2.0,0,0.0
202407,야탑동,39,18,2.0,0,0.0
202407,양지동,6,2,3.0,0,0.0
202407,여수동,9,4,1.5,0,0.0
202407,운중동,27,18,2.0,0,0.0
202407,율동,4,2,2.5,0,0.0
202407,은행동,8,4,1.0,0,0.0
202407,이매동,12,5,2.0,0,0.0
202407,정자동,42,25,2.0,0,0.0
202407,중앙동,19,12,0.5,0,0.0
202407,창곡동,33,22,1.0,0,0.0
202407,태평동,19,9,2.0,0,0.0
202407,판교동,17,14,1.5,0,0.0
202407,하대원동,6,2,2.0,0,0.0
202408,갈현동,1,1,0.0,0,0.0
202408,고등동,3,2,1.0,1,0.3333333333333333
202408,구미동,4,1,4.0,1,0.25
202408,금곡동,5,2,0.5,1,0.2
202408,금광동,3,2,1.5,0,0.0
202408,단대동,2,1,1.0,0,0.0
202408,대장동,5,5,0.0,0,0.0
202408,도촌동,1,1,0.0,1,1.0
