dong_cluster,youth_in,youth_out,youth_net,youth_pop,youth_outflow_rate,total_pop,youth_pop_from_popfile,complaint_count,processed_count,processing_days_median,parking_count,parking_share,complaints_per_1000_youth_legacy,complaints_per_1000_totalpop,denominator_note
태평동,1469,1979,-510,10677,4.776622646810901,49428,10677,565,419,0.0,43,0.07610619469026549,52.91748618525803,11.430767985757061,"official_metric=total_pop, legacy_metric=youth_pop"
수내동,718,997,-279,6757,4.12905135415125,41329,6757,472,400,0.0,25,0.05296610169491525,69.85348527453012,11.420552154661376,"official_metric=total_pop, legacy_metric=youth_pop"
분당동,544,696,-152,4612,3.295750216825672,24357,4612,199,145,0.0,8,0.04020100502512563,43.14830875975716,8.170135895225192,"official_metric=total_pop, legacy_metric=youth_pop"
이매동,618,812,-194,6345,3.0575256107171,37302,6345,218,157,0.0,11,0.05045871559633028,34.35776201733648,5.84419066001823,"official_metric=total_pop, legacy_metric=youth_pop"
수진동,602,732,-130,4697,2.767724079199489,24964,4697,374,269,0.0,18,0.0481283422459893,79.62529274004685,14.981573465790738,"official_metric=total_pop, legacy_metric=youth_pop"
복정동,548,654,-106,3955,2.680151706700379,13540,3955,183,152,0.0,16,0.08743169398907104,46.27054361567636,13.515509601181684,"official_metric=total_pop, legacy_metric=youth_pop"
상대원동,843,985,-142,6644,2.1372667068031306,36193,6644,580,421,1.0,24,0.041379310344827586,87.29680915111379,16.025198242754122,"official_metric=total_pop, legacy_metric=youth_pop"
은행동,871,985,-114,6255,1.8225419664268585,29642,6255,964,659,1.0,8,0.008298755186721992,154.11670663469224,32.52142230618717,"official_metric=total_pop, legacy_metric=youth_pop"
야탑동,1594,1783,-189,11839,1.596418616437199,58565,11839,850,727,0.0,40,0.047058823529411764,71.79660444294282,14.513788098693759,"official_metric=total_pop, legacy_metric=youth_pop"
양지동,186,213,-27,1700,1.588235294117647,8842,1700,125,73,0.0,16,0.128,73.52941176470588,14.137073060393575,"official_metric=total_pop, legacy_metric=youth_pop"
서현동,1164,1287,-123,9213,1.3350700097688049,47803,9213,803,704,0.0,25,0.031133250311332503,87.15944860523174,16.798108905298832,"official_metric=total_pop, legacy_metric=youth_pop"
정자동,2318,2499,-181,15829,1.1434708446522206,74458,15829,929,721,0.0,59,0.06350914962325081,58.689746667509,12.476832576754681,"official_metric=total_pop, legacy_metric=youth_pop"
중앙동,301,323,-22,2752,0.7994186046511629,16540,2752,249,186,1.0,11,0.04417670682730924,90.47965116279069,15.05441354292624,"official_metric=total_pop, legacy_metric=youth_pop"
판교동,416,442,-26,3699,0.7028926736955934,26324,3699,389,313,0.0,10,0.02570694087403599,105.16355771830224,14.7773894544902,"official_metric=total_pop, legacy_metric=youth_pop"
구미동,1150,1189,-39,8870,0.43968432919954903,43891,8870,554,413,0.0,83,0.14981949458483754,62.45772266065389,12.622177667403339,"official_metric=total_pop, legacy_metric=youth_pop"
금광동,1100,1136,-36,8428,0.42714760322733747,42822,8428,1244,916,1.0,87,0.06993569131832797,147.6032273374466,29.05048806688151,"official_metric=total_pop, legacy_metric=youth_pop"
단대동,407,411,-4,2603,0.1536688436419516,14102,2603,261,199,0.0,15,0.05747126436781609,100.26892047637341,18.50801304779464,"official_metric=total_pop, legacy_metric=youth_pop"
도촌동,577,581,-4,4432,0.09025270758122744,25686,4432,95,62,1.0,5,0.05263157894736842,21.435018050541515,3.6985128085338315,"official_metric=total_pop, legacy_metric=youth_pop"
신촌동,133,134,-1,1195,0.08368200836820083,4452,1195,4,4,0.0,0,0.0,3.3472803347280333,0.8984725965858041,"official_metric=total_pop, legacy_metric=youth_pop"
백현동,632,627,5,4846,-0.10317787866281469,26189,4846,332,283,0.0,35,0.10542168674698796,68.51011143210896,12.677078162587346,"official_metric=total_pop, legacy_metric=youth_pop"
하대원동,464,457,7,3670,-0.19073569482288827,19467,3670,433,327,1.0,13,0.03002309468822171,117.98365122615803,22.242769815585348,"official_metric=total_pop, legacy_metric=youth_pop"
성남동,1407,1309,98,8130,-1.205412054120541,31792,8130,2257,1446,1.0,52,0.02303943287549845,277.6137761377614,70.99270256668345,"official_metric=total_pop, legacy_metric=youth_pop"
삼평동,616,566,50,4051,-1.2342631449024932,23520,4051,457,363,0.0,36,0.0787746170678337,112.81165144408787,19.430272108843536,"official_metric=total_pop, legacy_metric=youth_pop"
시흥동,210,196,14,1132,-1.2367491166077738,3592,1132,100,86,0.0,6,0.06,88.33922261484099,27.83964365256125,"official_metric=total_pop, legacy_metric=youth_pop"
금곡동,757,685,72,5201,-1.3843491636223804,26667,5201,231,173,0.0,25,0.10822510822510822,44.414535666218036,8.662391720103498,"official_metric=total_pop, legacy_metric=youth_pop"
운중동,699,566,133,6306,-2.1091024421186173,38610,6306,246,171,0.0,23,0.09349593495934959,39.0104662226451,6.371406371406372,"official_metric=total_pop, legacy_metric=youth_pop"
산성동,123,103,20,807,-2.478314745972739,4377,807,32,23,0.0,2,0.0625,39.653035935563814,7.31094356865433,"official_metric=total_pop, legacy_metric=youth_pop"
고등동,403,338,65,2438,-2.6661197703035273,11670,2438,83,67,0.0,7,0.08433734939759036,34.044298605414276,7.112253641816624,"official_metric=total_pop, legacy_metric=youth_pop"
위례동,1292,826,466,7242,-6.434686550676609,45248,7242,1,1,2.0,1,1.0,0.13808340237503453,0.0221004243281471,"official_metric=total_pop, legacy_metric=youth_pop"
신흥동,2031,1147,884,10347,-8.543539190103413,54121,10347,509,445,0.0,11,0.021611001964636542,49.19300280274476,9.404852090685687,"official_metric=total_pop, legacy_metric=youth_pop"
