month,requested_dong,file,dong_cluster
202401,고등동,202401_고등동.xlsx,고등동
202401,구미1동,202401_구미1동.xlsx,구미동
202401,구미동,202401_구미동.xlsx,구미동
202401,금곡동,202401_금곡동.xlsx,금곡동
202401,금광1동,202401_금광1동.xlsx,금광동
202401,금광2동,202401_금광2동.xlsx,금광동
202401,단대동,202401_단대동.xlsx,단대동
202401,도촌동,202401_도촌동.xlsx,도촌동
202401,백현동,202401_백현동.xlsx,백현동
202401,복정동,202401_복정동.xlsx,복정동
202401,분당동,202401_분당동.xlsx,분당동
202401,산성동,202401_산성동.xlsx,산성동
202401,삼평동,202401_삼평동.xlsx,삼평동
202401,상대원1동,202401_상대원1동.xlsx,상대원동
202401,상대원2동,202401_상대원2동.xlsx,상대원동
202401,상대원3동,202401_상대원3동.xlsx,상대원동
202401,서현1동,202401_서현1동.xlsx,서현동
202401,서현2동,202401_서현2동.xlsx,서현동
202401,성남동,202401_성남동.xlsx,성남동
202401,수내1동,202401_수내1동.xlsx,수내동
202401,수내2동,202401_수내2동.xlsx,수내동
202401,수내3동,202401_수내3동.xlsx,수내동
202401,수진1동,202401_수진1동.xlsx,수진동
202401,수진2동,202401_수진2동.xlsx,수진동
202401,시흥동,202401_시흥동.xlsx,시흥동
202401,신촌동,202401_신촌동.xlsx,신촌동
202401,신흥1동,202401_신흥1동.xlsx,신흥동
202401,신흥2동,202401_신흥2동.xlsx,신흥동
202401,신흥3동,202401_신흥3동.xlsx,신흥동
202401,야탑1동,202401_야탑1동.xlsx,야탑동
202401,야탑2동,202401_야탑2동.xlsx,야탑동
202401,야탑3동,202401_야탑3동.xlsx,야탑동
202401,양지동,202401_양지동.xlsx,양지동
202401,운중동,202401_운중동.xlsx,운중동
202401,위례동,202401_위례동.xlsx,위례동
202401,은행1동,202401_은행1동.xlsx,은행동
202401,은행2동,202401_은행2동.xlsx,은행동
202401,이매1동,202401_이매1동.xlsx,이매동
202401,이매2동,202401_이매2동.xlsx,이매동
202401,정자1동,202401_정자1동.xlsx,정자동
202401,정자2동,202401_정자2동.xlsx,정자동
202401,정자3동,202401_정자3동.xlsx,정자동
202401,정자동,202401_정자동.xlsx,정자동
202401,중앙동,202401_중앙동.xlsx,중앙동
202401,태평1동,202401_태평1동.xlsx,태평동
202401,태평2동,202401_태평2동.xlsx,태평동
202401,태평3동,202401_태평3동.xlsx,태평동
202401,태평4동,202401_태평4동.xlsx,태평동
202401,판교동,202401_판교동.xlsx,판교동
202401,하대원동,202401_하대원동.xlsx,하대원동
202402,고등동,202402_고등동.xlsx,고등동
202402,구미1동,202402_구미1동.xlsx,구미동
202402,구미동,202402_구미동.xlsx,구미동
202402,금곡동,202402_금곡동.xlsx,금곡동
202402,금광1동,202402_금광1동.xlsx,금광동
