dong_cluster,topic,complaint_count,dong_total,topic_share
갈현동,교통시설_대중교통,1,14,0.07142857142857142
갈현동,불법주정차_장애인구역,1,14,0.07142857142857142
갈현동,시설노후_파손,12,14,0.8571428571428571
고등동,불법주정차_인도,5,83,0.060240963855421686
고등동,불법주정차_장애인구역,2,83,0.024096385542168676
고등동,생활불편_기타,1,83,0.012048192771084338
고등동,생활환경_청결소음,2,83,0.024096385542168676
고등동,시설노후_파손,73,83,0.8795180722891566
구미동,공원녹지_관리,3,554,0.005415162454873646
구미동,보행도로_안전,1,554,0.0018050541516245488
구미동,불법광고물,6,554,0.010830324909747292
구미동,불법주정차_인도,79,554,0.14259927797833935
구미동,불법주정차_장애인구역,1,554,0.0018050541516245488
구미동,불법주정차_횡단보도,3,554,0.005415162454873646
구미동,생활환경_청결소음,3,554,0.005415162454873646
구미동,시설노후_파손,458,554,0.8267148014440433
궁내동,불법주정차_인도,3,61,0.04918032786885246
궁내동,불법주정차_장애인구역,1,61,0.01639344262295082
궁내동,시설노후_파손,57,61,0.9344262295081968
금곡동,불법광고물,4,231,0.017316017316017316
금곡동,불법주정차_기타,1,231,0.004329004329004329
금곡동,불법주정차_인도,23,231,0.09956709956709957
금곡동,불법주정차_장애인구역,1,231,0.004329004329004329
금곡동,생활불편_기타,2,231,0.008658008658008658
금곡동,생활환경_청결소음,4,231,0.017316017316017316
금곡동,시설노후_파손,196,231,0.8484848484848485
금광동,불법광고물,7,1244,0.005627009646302251
금광동,불법주정차_인도,80,1244,0.06430868167202572
금광동,불법주정차_장애인구역,3,1244,0.002411575562700965
금광동,불법주정차_횡단보도,4,1244,0.003215434083601286
금광동,생활불편_기타,3,1244,0.002411575562700965
금광동,생활환경_청결소음,13,1244,0.01045016077170418
금광동,시설노후_파손,1134,1244,0.9115755627009646
금토동,불법주정차_인도,8,113,0.07079646017699115
금토동,불법주정차_횡단보도,1,113,0.008849557522123894
금토동,생활환경_청결소음,2,113,0.017699115044247787
금토동,시설노후_파손,102,113,0.9026548672566371
단대동,공원녹지_관리,1,261,0.0038314176245210726
단대동,불법광고물,1,261,0.0038314176245210726
단대동,불법주정차_인도,13,261,0.04980842911877394
단대동,불법주정차_횡단보도,2,261,0.007662835249042145
단대동,생활환경_청결소음,3,261,0.011494252873563218
단대동,시설노후_파손,241,261,0.9233716475095786
대장동,공원녹지_관리,1,91,0.01098901098901099
대장동,교통시설_대중교통,2,91,0.02197802197802198
대장동,불법광고물,1,91,0.01098901098901099
대장동,불법주정차_인도,3,91,0.03296703296703297
대장동,생활환경_청결소음,1,91,0.01098901098901099
대장동,시설노후_파손,83,91,0.9120879120879121
도촌동,불법광고물,8,95,0.08421052631578947
도촌동,불법주정차_기타,1,95,0.010526315789473684
도촌동,불법주정차_인도,4,95,0.042105263157894736
도촌동,생활환경_청결소음,1,95,0.010526315789473684
도촌동,시설노후_파손,81,95,0.8526315789473684
동원동,불법주정차_인도,1,10,0.1
동원동,시설노후_파손,9,10,0.9
백현동,공원녹지_관리,1,332,0.0030120481927710845
백현동,불법광고물,2,332,0.006024096385542169
백현동,불법주정차_인도,32,332,0.0963855421686747
백현동,불법주정차_장애인구역,3,332,0.009036144578313253
백현동,생활환경_청결소음,14,332,0.04216867469879518
백현동,시설노후_파손,280,332,0.8433734939759037
복정동,공원녹지_관리,1,183,0.00546448087431694
복정동,불법광고물,1,183,0.00546448087431694
복정동,불법주정차_인도,15,183,0.08196721311475409
복정동,불법주정차_장애인구역,1,183,0.00546448087431694
복정동,생활환경_청결소음,6,183,0.03278688524590164
복정동,시설노후_파손,159,183,0.8688524590163934
