dong_cluster,topic_group,complaint_count,dong_total,topic_share
갈현동,교통서비스,1,14,0.07142857142857142
갈현동,불법주정차,1,14,0.07142857142857142
갈현동,시설노후/파손,12,14,0.8571428571428571
고등동,기타,1,83,0.012048192771084338
고등동,불법주정차,7,83,0.08433734939759036
고등동,생활환경,2,83,0.024096385542168676
고등동,시설노후/파손,73,83,0.8795180722891566
구미동,공원/녹지,3,554,0.005415162454873646
구미동,보행/도로안전,1,554,0.0018050541516245488
구미동,불법광고물,6,554,0.010830324909747292
구미동,불법주정차,83,554,0.14981949458483754
구미동,생활환경,3,554,0.005415162454873646
구미동,시설노후/파손,458,554,0.8267148014440433
궁내동,불법주정차,4,61,0.06557377049180328
궁내동,시설노후/파손,57,61,0.9344262295081968
금곡동,기타,2,231,0.008658008658008658
금곡동,불법광고물,4,231,0.017316017316017316
금곡동,불법주정차,25,231,0.10822510822510822
금곡동,생활환경,4,231,0.017316017316017316
금곡동,시설노후/파손,196,231,0.8484848484848485
금광동,기타,3,1244,0.002411575562700965
금광동,불법광고물,7,1244,0.005627009646302251
금광동,불법주정차,87,1244,0.06993569131832797
금광동,생활환경,13,1244,0.01045016077170418
금광동,시설노후/파손,1134,1244,0.9115755627009646
금토동,불법주정차,9,113,0.07964601769911504
금토동,생활환경,2,113,0.017699115044247787
금토동,시설노후/파손,102,113,0.9026548672566371
단대동,공원/녹지,1,261,0.0038314176245210726
단대동,불법광고물,1,261,0.0038314176245210726
단대동,불법주정차,15,261,0.05747126436781609
단대동,생활환경,3,261,0.011494252873563218
단대동,시설노후/파손,241,261,0.9233716475095786
대장동,공원/녹지,1,91,0.01098901098901099
대장동,교통서비스,2,91,0.02197802197802198
대장동,불법광고물,1,91,0.01098901098901099
대장동,불법주정차,3,91,0.03296703296703297
대장동,생활환경,1,91,0.01098901098901099
대장동,시설노후/파손,83,91,0.9120879120879121
도촌동,불법광고물,8,95,0.08421052631578947
도촌동,불법주정차,5,95,0.05263157894736842
도촌동,생활환경,1,95,0.010526315789473684
도촌동,시설노후/파손,81,95,0.8526315789473684
동원동,불법주정차,1,10,0.1
동원동,시설노후/파손,9,10,0.9
백현동,공원/녹지,1,332,0.0030120481927710845
백현동,불법광고물,2,332,0.006024096385542169
백현동,불법주정차,35,332,0.10542168674698796
백현동,생활환경,14,332,0.04216867469879518
백현동,시설노후/파손,280,332,0.8433734939759037
복정동,공원/녹지,1,183,0.00546448087431694
복정동,불법광고물,1,183,0.00546448087431694
복정동,불법주정차,16,183,0.08743169398907104
복정동,생활환경,6,183,0.03278688524590164
복정동,시설노후/파손,159,183,0.8688524590163934
분당동,공원/녹지,2,199,0.010050251256281407
분당동,보행/도로안전,1,199,0.005025125628140704
분당동,불법광고물,1,199,0.005025125628140704
분당동,불법주정차,8,199,0.04020100502512563
분당동,생활환경,1,199,0.005025125628140704
분당동,시설노후/파손,186,199,0.9346733668341709
사송동,불법광고물,1,22,0.045454545454545456
사송동,불법주정차,4,22,0.18181818181818182
사송동,시설노후/파손,17,22,0.7727272727272727
산성동,불법광고물,1,32,0.03125
산성동,불법주정차,2,32,0.0625
산성동,시설노후/파손,29,32,0.90625
삼평동,공원/녹지,5,457,0.010940919037199124
삼평동,보행/도로안전,2,457,0.00437636761487965
삼평동,불법광고물,14,457,0.030634573304157548
삼평동,불법주정차,36,457,0.0787746170678337
삼평동,생활환경,3,457,0.006564551422319475
삼평동,시설노후/파손,397,457,0.8687089715536105
상대원동,교통서비스,1,580,0.0017241379310344827
상대원동,기타,1,580,0.0017241379310344827
상대원동,불법주정차,24,580,0.041379310344827586
상대원동,생활환경,3,580,0.005172413793103448
상대원동,시설노후/파손,551,580,0.95
상적동,불법주정차,1,9,0.1111111111111111
상적동,시설노후/파손,8,9,0.8888888888888888
서현동,공원/녹지,3,803,0.0037359900373599006
서현동,기타,1,803,0.0012453300124533001
서현동,불법광고물,19,803,0.023661270236612703
서현동,불법주정차,25,803,0.031133250311332503
서현동,생활환경,6,803,0.007471980074719801
서현동,시설노후/파손,749,803,0.9327521793275217
석운동,불법주정차,1,1,1.0
성남동,공원/녹지,3,2257,0.001329198050509526
성남동,기타,2,2257,0.0008861320336730173
성남동,불법광고물,10,2257,0.004430660168365086
성남동,불법주정차,52,2257,0.02303943287549845
성남동,생활환경,3,2257,0.001329198050509526
성남동,시설노후/파손,2187,2257,0.9689853788214444
수내동,공원/녹지,6,472,0.012711864406779662
수내동,불법광고물,7,472,0.014830508474576272
수내동,불법주정차,25,472,0.05296610169491525
수내동,생활환경,5,472,0.01059322033898305
수내동,시설노후/파손,429,472,0.9088983050847458
수진동,기타,1,374,0.00267379679144385
수진동,불법광고물,8,374,0.0213903743315508
수진동,불법주정차,18,374,0.0481283422459893
수진동,생활환경,3,374,0.008021390374331552
수진동,시설노후/파손,344,374,0.9197860962566845
시흥동,불법주정차,6,100,0.06
시흥동,생활환경,3,100,0.03
시흥동,시설노후/파손,91,100,0.91
신촌동,시설노후/파손,4,4,1.0
신흥동,공원/녹지,3,509,0.005893909626719057
신흥동,불법광고물,4,509,0.007858546168958742
신흥동,불법주정차,11,509,0.021611001964636542
신흥동,생활환경,3,509,0.005893909626719057
신흥동,시설노후/파손,488,509,0.9587426326129665
심곡동,불법주정차,2,252,0.007936507936507936
심곡동,생활환경,2,252,0.007936507936507936
심곡동,시설노후/파손,248,252,0.9841269841269841
야탑동,공원/녹지,3,850,0.0035294117647058825
야탑동,기타,2,850,0.002352941176470588
야탑동,불법광고물,9,850,0.010588235294117647
야탑동,불법주정차,40,850,0.047058823529411764
야탑동,생활환경,2,850,0.002352941176470588
야탑동,시설노후/파손,794,850,0.9341176470588235
양지동,공원/녹지,1,125,0.008
양지동,기타,9,125,0.072
양지동,불법광고물,1,125,0.008
양지동,불법주정차,16,125,0.128
양지동,생활환경,20,125,0.16
양지동,시설노후/파손,78,125,0.624
여수동,불법광고물,2,210,0.009523809523809525
여수동,불법주정차,2,210,0.009523809523809525
여수동,생활환경,1,210,0.004761904761904762
여수동,시설노후/파손,205,210,0.9761904761904762
오야동,불법주정차,1,17,0.058823529411764705
오야동,시설노후/파손,16,17,0.9411764705882353
운중동,공원/녹지,2,246,0.008130081300813009
운중동,불법광고물,1,246,0.0040650406504065045
운중동,불법주정차,23,246,0.09349593495934959
운중동,생활환경,3,246,0.012195121951219513
운중동,시설노후/파손,217,246,0.8821138211382114
위례동,불법주정차,1,1,1.0
율동,불법광고물,1,22,0.045454545454545456
율동,시설노후/파손,21,22,0.9545454545454546
은행동,공원/녹지,1,964,0.001037344398340249
은행동,불법주정차,8,964,0.008298755186721992
은행동,생활환경,2,964,0.002074688796680498
은행동,시설노후/파손,953,964,0.9885892116182573
이매동,불법광고물,1,218,0.0045871559633027525
이매동,불법주정차,11,218,0.05045871559633028
이매동,시설노후/파손,206,218,0.944954128440367
정자동,공원/녹지,3,929,0.0032292787944025836
정자동,기타,2,929,0.002152852529601722
정자동,불법광고물,16,929,0.017222820236813777
정자동,불법주정차,59,929,0.06350914962325081
정자동,생활환경,10,929,0.010764262648008612
정자동,시설노후/파손,839,929,0.9031216361679225
중앙동,공원/녹지,2,249,0.008032128514056224
중앙동,불법광고물,3,249,0.012048192771084338
중앙동,불법주정차,11,249,0.04417670682730924
중앙동,시설노후/파손,233,249,0.9357429718875502
창곡동,공원/녹지,1,315,0.0031746031746031746
창곡동,기타,1,315,0.0031746031746031746
창곡동,불법광고물,14,315,0.044444444444444446
창곡동,불법주정차,26,315,0.08253968253968254
창곡동,생활환경,7,315,0.022222222222222223
창곡동,시설노후/파손,266,315,0.8444444444444444
태평동,공원/녹지,3,565,0.005309734513274336
태평동,기타,2,565,0.0035398230088495575
태평동,불법광고물,6,565,0.010619469026548672
태평동,불법주정차,43,565,0.07610619469026549
태평동,생활환경,2,565,0.0035398230088495575
태평동,시설노후/파손,509,565,0.9008849557522124
판교동,기타,1,389,0.002570694087403599
판교동,불법광고물,1,389,0.002570694087403599
판교동,불법주정차,10,389,0.02570694087403599
판교동,생활환경,4,389,0.010282776349614395
판교동,시설노후/파손,373,389,0.9588688946015425
하대원동,불법광고물,3,433,0.006928406466512702
하대원동,불법주정차,13,433,0.03002309468822171
하대원동,생활환경,4,433,0.009237875288683603
하대원동,시설노후/파손,413,433,0.953810623556582
