month,dong_cluster,topic_group,complaint_count,month_cluster_total,topic_share
202401,고등동,시설노후/파손,3,3,1.0
202401,구미동,불법광고물,1,31,0.03225806451612903
202401,구미동,불법주정차,7,31,0.22580645161290322
202401,구미동,시설노후/파손,23,31,0.7419354838709677
202401,궁내동,불법주정차,1,7,0.14285714285714285
202401,궁내동,시설노후/파손,6,7,0.8571428571428571
202401,금곡동,불법주정차,4,11,0.36363636363636365
202401,금곡동,시설노후/파손,7,11,0.6363636363636364
202401,금광동,불법광고물,2,90,0.022222222222222223
202401,금광동,불법주정차,7,90,0.07777777777777778
202401,금광동,생활환경,3,90,0.03333333333333333
202401,금광동,시설노후/파손,78,90,0.8666666666666667
202401,금토동,불법주정차,4,6,0.6666666666666666
202401,금토동,시설노후/파손,2,6,0.3333333333333333
202401,단대동,시설노후/파손,22,22,1.0
202401,대장동,시설노후/파손,7,7,1.0
202401,도촌동,시설노후/파손,1,1,1.0
202401,동원동,시설노후/파손,2,2,1.0
202401,백현동,불법주정차,1,21,0.047619047619047616
202401,백현동,시설노후/파손,20,21,0.9523809523809523
202401,복정동,시설노후/파손,3,3,1.0
202401,분당동,공원/녹지,1,15,0.06666666666666667
202401,분당동,시설노후/파손,14,15,0.9333333333333333
202401,삼평동,공원/녹지,1,27,0.037037037037037035
202401,삼평동,불법광고물,4,27,0.14814814814814814
202401,삼평동,불법주정차,2,27,0.07407407407407407
202401,삼평동,시설노후/파손,20,27,0.7407407407407407
202401,상대원동,불법주정차,5,54,0.09259259259259259
202401,상대원동,시설노후/파손,49,54,0.9074074074074074
202401,상적동,시설노후/파손,3,3,1.0
202401,서현동,공원/녹지,1,37,0.02702702702702703
202401,서현동,불법주정차,3,37,0.08108108108108109
202401,서현동,시설노후/파손,33,37,0.8918918918918919
202401,성남동,불법광고물,2,142,0.014084507042253521
202401,성남동,불법주정차,3,142,0.02112676056338028
202401,성남동,시설노후/파손,137,142,0.9647887323943662
202401,수내동,불법광고물,1,37,0.02702702702702703
202401,수내동,불법주정차,3,37,0.08108108108108109
202401,수내동,시설노후/파손,33,37,0.8918918918918919
202401,수진동,불법주정차,2,29,0.06896551724137931
202401,수진동,생활환경,1,29,0.034482758620689655
202401,수진동,시설노후/파손,26,29,0.896551724137931
202401,시흥동,시설노후/파손,7,7,1.0
202401,신흥동,불법주정차,3,55,0.05454545454545454
202401,신흥동,시설노후/파손,52,55,0.9454545454545454
202401,심곡동,시설노후/파손,23,23,1.0
202401,야탑동,시설노후/파손,34,34,1.0
202401,양지동,시설노후/파손,6,6,1.0
202401,여수동,시설노후/파손,4,4,1.0
202401,운중동,불법주정차,4,13,0.3076923076923077
202401,운중동,생활환경,2,13,0.15384615384615385
202401,운중동,시설노후/파손,7,13,0.5384615384615384
202401,은행동,공원/녹지,1,88,0.011363636363636364
202401,은행동,불법주정차,3,88,0.03409090909090909
202401,은행동,시설노후/파손,84,88,0.9545454545454546
202401,이매동,불법주정차,1,15,0.06666666666666667
202401,이매동,시설노후/파손,14,15,0.9333333333333333
202401,정자동,불법광고물,4,70,0.05714285714285714
202401,정자동,불법주정차,2,70,0.02857142857142857
202401,정자동,시설노후/파손,64,70,0.9142857142857143
202401,중앙동,시설노후/파손,9,9,1.0
202401,창곡동,불법광고물,1,26,0.038461538461538464
202401,창곡동,불법주정차,3,26,0.11538461538461539
202401,창곡동,생활환경,2,26,0.07692307692307693
202401,창곡동,시설노후/파손,20,26,0.7692307692307693
202401,태평동,불법광고물,1,71,0.014084507042253521
202401,태평동,불법주정차,1,71,0.014084507042253521
202401,태평동,시설노후/파손,69,71,0.971830985915493
202401,판교동,불법주정차,2,25,0.08
202401,판교동,시설노후/파손,23,25,0.92
202401,하대원동,불법주정차,2,45,0.044444444444444446
202401,하대원동,시설노후/파손,43,45,0.9555555555555556
202402,고등동,생활환경,1,3,0.3333333333333333
202402,고등동,시설노후/파손,2,3,0.6666666666666666
202402,구미동,공원/녹지,1,26,0.038461538461538464
202402,구미동,불법주정차,2,26,0.07692307692307693
202402,구미동,시설노후/파손,23,26,0.8846153846153846
202402,궁내동,시설노후/파손,9,9,1.0
202402,금곡동,불법광고물,1,8,0.125
202402,금곡동,불법주정차,4,8,0.5
202402,금곡동,시설노후/파손,3,8,0.375
202402,금광동,불법광고물,1,112,0.008928571428571428
202402,금광동,불법주정차,9,112,0.08035714285714286
202402,금광동,시설노후/파손,102,112,0.9107142857142857
202402,금토동,시설노후/파손,6,6,1.0
202402,단대동,시설노후/파손,21,21,1.0
202402,대장동,불법광고물,1,4,0.25
202402,대장동,시설노후/파손,3,4,0.75
202402,도촌동,불법광고물,2,16,0.125
202402,도촌동,생활환경,1,16,0.0625
202402,도촌동,시설노후/파손,13,16,0.8125
202402,백현동,불법주정차,1,22,0.045454545454545456
