iteration,stage,feature,n,pearson_r,spearman_r,abs_spearman_r
2,engineered_features,complaint_count__x__internal_moves_per_1000_youth,30,0.1484990866683376,0.4242491657397108,0.4242491657397108
1,raw_features,complaint_count,30,0.10539871255863324,0.32458286985539486,0.32458286985539486
2,engineered_features,complaint_count,30,0.10539871255863324,0.32458286985539486,0.32458286985539486
2,engineered_features,complaint_count__z,30,0.10539871255863321,0.32458286985539486,0.32458286985539486
2,engineered_features,complaint_count__log1p,30,0.3742721082526642,0.32458286985539486,0.32458286985539486
1,raw_features,internal_moves_per_1000_youth,30,0.4567654314757513,0.31568409343715237,0.31568409343715237
2,engineered_features,internal_moves_per_1000_youth,30,0.4567654314757513,0.31568409343715237,0.31568409343715237
2,engineered_features,internal_moves_per_1000_youth__z,30,0.4567654314757513,0.31568409343715237,0.31568409343715237
2,engineered_features,internal_moves_per_1000_youth__log1p,30,0.4626284399419816,0.31568409343715237,0.31568409343715237
1,raw_features,processed_count,30,0.11429344404989923,0.27430478309232476,0.27430478309232476
2,engineered_features,processed_count,30,0.11429344404989923,0.27430478309232476,0.27430478309232476
2,engineered_features,processed_count__z,30,0.11429344404989922,0.27430478309232476,0.27430478309232476
2,engineered_features,processed_count__log1p,30,0.3607795493595488,0.27430478309232476,0.27430478309232476
1,raw_features,parking_count,30,0.19284711950805608,0.2730513942462332,0.2730513942462332
2,engineered_features,parking_count,30,0.19284711950805608,0.2730513942462332,0.2730513942462332
1,raw_features,youth_pop_from_popfile,30,0.05179205284729774,0.24938820912124582,0.24938820912124582
2,engineered_features,youth_pop_from_popfile,30,0.05179205284729774,0.24938820912124582,0.24938820912124582
1,raw_features,top_bucket_share_mean,30,0.2552702562517788,0.21601779755283645,0.21601779755283645
2,engineered_features,top_bucket_share_mean,30,0.2552702562517788,0.21601779755283645,0.21601779755283645
1,raw_features,parking_share,30,-0.4312416659554988,-0.19911012235817574,0.19911012235817574
2,engineered_features,parking_share,30,-0.4312416659554988,-0.19911012235817574,0.19911012235817574
2,engineered_features,complaint_count__div__internal_moves_per_1000_youth,30,0.04419948528448605,0.19288097886540603,0.19288097886540603
1,raw_features,complaints_per_1000_month_mean,30,0.08730050261105446,0.188897542608427,0.188897542608427
2,engineered_features,complaints_per_1000_month_mean,30,0.08730050261105446,0.188897542608427,0.188897542608427
1,raw_features,complaints_per_1000_youth_legacy,30,0.11342061121258414,0.1670745272525028,0.1670745272525028
2,engineered_features,complaints_per_1000_youth_legacy,30,0.11342061121258414,0.1670745272525028,0.1670745272525028
1,raw_features,complaints_per_1000_totalpop,30,0.06415857054568173,0.15283648498331479,0.15283648498331479
2,engineered_features,complaints_per_1000_totalpop,30,0.06415857054568173,0.15283648498331479,0.15283648498331479
1,raw_features,processing_days_median,30,-0.24303506603029612,-0.11492785771503052,0.11492785771503052
2,engineered_features,processing_days_median,30,-0.24303506603029612,-0.11492785771503052,0.11492785771503052
1,raw_features,processed_rate_month_mean,28,-0.04846349284439225,-0.0180623973727422,0.0180623973727422
2,engineered_features,processed_rate_month_mean,28,-0.04846349284439225,-0.0180623973727422,0.0180623973727422
1,raw_features,origin_total_outflow_mean,30,-0.165204189458942,-0.01802202703331282,0.01802202703331282
2,engineered_features,origin_total_outflow_mean,30,-0.165204189458942,-0.01802202703331282,0.01802202703331282
