origin_dong,destination_bucket,n,origin_total_outflow,bucket_share
고등동,경기_인접핵심,44,130,0.3384615384615385
고등동,경기_기타,39,130,0.3
고등동,서울_기타,32,130,0.24615384615384617
고등동,서울_강남3구,15,130,0.11538461538461539
구미1동,경기_인접핵심,106,257,0.41245136186770426
구미1동,서울_기타,60,257,0.23346303501945526
구미1동,경기_기타,54,257,0.21011673151750973
구미1동,서울_강남3구,37,257,0.14396887159533073
구미동,경기_인접핵심,164,418,0.3923444976076555
구미동,서울_기타,118,418,0.2822966507177033
구미동,경기_기타,102,418,0.24401913875598086
구미동,서울_강남3구,34,418,0.08133971291866028
금곡동,경기_인접핵심,113,341,0.3313782991202346
금곡동,서울_기타,104,341,0.30498533724340177
금곡동,경기_기타,84,341,0.24633431085043989
금곡동,서울_강남3구,40,341,0.11730205278592376
금광1동,경기_기타,66,159,0.41509433962264153
금광1동,서울_기타,49,159,0.3081761006289308
금광1동,경기_인접핵심,32,159,0.20125786163522014
금광1동,서울_강남3구,12,159,0.07547169811320754
금광2동,경기_기타,102,265,0.3849056603773585
금광2동,경기_인접핵심,71,265,0.2679245283018868
금광2동,서울_기타,60,265,0.22641509433962265
금광2동,서울_강남3구,32,265,0.12075471698113208
단대동,경기_기타,50,149,0.33557046979865773
단대동,경기_인접핵심,40,149,0.2684563758389262
단대동,서울_기타,37,149,0.2483221476510067
단대동,서울_강남3구,22,149,0.1476510067114094
도촌동,경기_기타,90,239,0.37656903765690375
도촌동,서울_기타,61,239,0.25523012552301255
도촌동,경기_인접핵심,59,239,0.24686192468619247
도촌동,서울_강남3구,29,239,0.12133891213389121
백현동,서울_기타,95,287,0.3310104529616725
백현동,경기_기타,78,287,0.27177700348432055
백현동,경기_인접핵심,63,287,0.21951219512195122
백현동,서울_강남3구,51,287,0.17770034843205576
복정동,경기_기타,135,390,0.34615384615384615
복정동,서울_기타,130,390,0.3333333333333333
복정동,서울_강남3구,71,390,0.18205128205128204
복정동,경기_인접핵심,54,390,0.13846153846153847
분당동,서울_기타,110,344,0.31976744186046513
분당동,경기_기타,101,344,0.2936046511627907
분당동,경기_인접핵심,100,344,0.29069767441860467
분당동,서울_강남3구,33,344,0.09593023255813954
산성동,서울_기타,14,33,0.42424242424242425
