origin_dong,top_destination_bucket,top_bucket_share,origin_total_outflow
고등동,경기_인접핵심,0.3384615384615385,130
구미1동,경기_인접핵심,0.41245136186770426,257
구미동,경기_인접핵심,0.3923444976076555,418
금곡동,경기_인접핵심,0.3313782991202346,341
금광1동,경기_기타,0.41509433962264153,159
금광2동,경기_기타,0.3849056603773585,265
단대동,경기_기타,0.33557046979865773,149
도촌동,경기_기타,0.37656903765690375,239
백현동,서울_기타,0.3310104529616725,287
복정동,경기_기타,0.34615384615384615,390
분당동,서울_기타,0.31976744186046513,344
산성동,서울_기타,0.42424242424242425,33
삼평동,경기_기타,0.3371212121212121,264
상대원1동,경기_기타,0.3826086956521739,230
상대원2동,경기_인접핵심,0.4074074074074074,27
상대원3동,경기_인접핵심,0.34375,96
서현1동,서울_기타,0.32505643340857787,443
서현2동,서울_기타,0.3548387096774194,186
성남동,경기_기타,0.36860670194003525,567
수내1동,서울_기타,0.3125,240
수내2동,서울_기타,0.4375,48
수내3동,서울_기타,0.3837837837837838,185
수진1동,경기_기타,0.3644859813084112,107
수진2동,경기_기타,0.3151515151515151,165
시흥동,경기_인접핵심,0.28,100
신촌동,경기_기타,0.3333333333333333,72
신흥1동,경기_기타,0.3949579831932773,119
신흥2동,서울_기타,0.33905579399141633,233
신흥3동,경기_기타,0.2975206611570248,121
야탑1동,서울_기타,0.3253968253968254,252
야탑2동,서울_기타,0.3468208092485549,173
야탑3동,경기_기타,0.33430232558139533,344
양지동,경기_기타,0.4588235294117647,85
운중동,서울_기타,0.35542168674698793,332
위례동,경기_기타,0.279467680608365,526
은행1동,경기_기타,0.40601503759398494,133
은행2동,경기_기타,0.3968253968253968,252
이매1동,서울_기타,0.3730769230769231,260
이매2동,서울_기타,0.46078431372549017,102
정자1동,서울_기타,0.3321678321678322,572
정자2동,서울_기타,0.3442622950819672,183
정자3동,서울_기타,0.36312849162011174,179
정자동,경기_인접핵심,0.3204633204633205,259
중앙동,경기_기타,0.308411214953271,107
태평1동,서울_기타,0.3333333333333333,297
태평2동,경기_기타,0.3559322033898305,177
태평3동,경기_기타,0.3359375,128
태평4동,경기_기타,0.3488372093023256,129
판교동,서울_기타,0.37623762376237624,202
하대원동,경기_기타,0.40372670807453415,161
