origin_cluster,dest_cluster,n
정자동,정자동,302
태평동,태평동,258
야탑동,야탑동,204
태평동,신흥동,164
태평동,성남동,138
수내동,정자동,138
상대원동,상대원동,130
정자동,금곡동,124
야탑동,도촌동,116
이매동,야탑동,110
금광동,신흥동,108
구미동,정자동,106
정자동,구미동,104
서현동,정자동,102
성남동,신흥동,100
태평동,수진동,98
금광동,은행동,98
은행동,금광동,90
금곡동,구미동,88
금곡동,정자동,88
정자동,서현동,86
정자동,수내동,86
신흥동,신흥동,84
상대원동,금광동,84
위례동,신흥동,80
신흥동,태평동,80
서현동,분당동,80
구미동,금곡동,74
태평동,위례동,74
분당동,서현동,72
은행동,신흥동,72
구미동,구미동,70
판교동,운중동,70
정자동,백현동,70
야탑동,성남동,70
수진동,신흥동,70
성남동,하대원동,68
성남동,금광동,68
수진동,태평동,68
서현동,서현동,68
상대원동,신흥동,68
수진동,성남동,66
태평동,은행동,66
금광동,금광동,66
금광동,상대원동,64
신흥동,성남동,62
정자동,야탑동,62
야탑동,이매동,62
도촌동,야탑동,60
성남동,태평동,60
금광동,성남동,60
수내동,구미동,60
신흥동,위례동,60
하대원동,성남동,58
야탑동,삼평동,58
태평동,복정동,56
분당동,정자동,54
야탑동,신흥동,54
삼평동,백현동,54
정자동,운중동,54
복정동,위례동,54
수내동,서현동,54
은행동,은행동,54
성남동,야탑동,54
태평동,야탑동,54
성남동,수진동,54
은행동,성남동,54
태평동,상대원동,54
신흥동,금광동,54
야탑동,정자동,52
서현동,야탑동,52
금광동,위례동,50
성남동,위례동,50
상대원동,은행동,50
정자동,분당동,48
상대원동,성남동,48
정자동,신흥동,48
신흥동,단대동,46
백현동,운중동,46
이매동,서현동,46
금광동,태평동,46
정자동,삼평동,46
복정동,태평동,44
상대원동,위례동,44
신흥동,수진동,44
은행동,위례동,44
야탑동,서현동,44
성남동,상대원동,42
삼평동,정자동,42
백현동,정자동,42
은행동,상대원동,42
정자동,이매동,40
단대동,은행동,40
은행동,태평동,38
태평동,금광동,38
은행동,단대동,38
백현동,서현동,38
서현동,구미동,38
구미동,서현동,38
수내동,수내동,36
성남동,정자동,36
태평동,하대원동,36
야탑동,고등동,34
서현동,백현동,34
단대동,금광동,34
서현동,수내동,34
서현동,삼평동,34
야탑동,금광동,34
정자동,위례동,34
단대동,신흥동,34
이매동,백현동,34
정자동,성남동,32
수진동,금광동,32
이매동,정자동,32
백현동,이매동,32
상대원동,하대원동,32
삼평동,운중동,32
신흥동,은행동,32
신흥동,하대원동,32
금광동,야탑동,32
운중동,판교동,32
금광동,단대동,32
백현동,삼평동,32
단대동,위례동,30
서현동,운중동,30
서현동,이매동,30
성남동,은행동,30
야탑동,분당동,30
복정동,신흥동,30
하대원동,태평동,30
판교동,정자동,30
중앙동,신흥동,30
중앙동,금광동,30
정자동,판교동,30
수진동,위례동,28
신흥동,상대원동,28
야탑동,태평동,28
단대동,성남동,28
야탑동,상대원동,28
구미동,운중동,28
하대원동,금광동,28
구미동,수내동,28
수내동,이매동,28
상대원동,태평동,28
야탑동,수진동,26
산성동,신흥동,26
도촌동,태평동,26
양지동,단대동,26
도촌동,위례동,26
분당동,수내동,26
은행동,양지동,26
수내동,금곡동,26
하대원동,신흥동,26
구미동,야탑동,26
고등동,위례동,26
이매동,이매동,26
신흥동,중앙동,24
수내동,분당동,24
하대원동,상대원동,24
복정동,성남동,24
태평동,중앙동,24
성남동,중앙동,24
위례동,금광동,24
성남동,서현동,24
운중동,정자동,24
중앙동,성남동,24
양지동,은행동,24
수내동,야탑동,24
이매동,운중동,24
야탑동,구미동,24
단대동,상대원동,24
정자동,금광동,24
위례동,태평동,24
야탑동,백현동,22
은행동,하대원동,22
태평동,도촌동,22
이매동,삼평동,22
수진동,수진동,22
이매동,판교동,22
삼평동,구미동,22
서현동,금곡동,22
운중동,삼평동,22
삼평동,야탑동,22
태평동,서현동,22
금광동,중앙동,22
도촌동,성남동,22
상대원동,단대동,22
운중동,서현동,20
수진동,은행동,20
서현동,신흥동,20
하대원동,도촌동,20
고등동,야탑동,20
야탑동,위례동,20
중앙동,태평동,20
이매동,신흥동,20
금광동,하대원동,20
백현동,판교동,20
도촌동,신흥동,20
도촌동,상대원동,20
운중동,신흥동,18
분당동,구미동,18
분당동,고등동,18
중앙동,상대원동,18
백현동,야탑동,18
수내동,신흥동,18
수진동,야탑동,18
신흥동,양지동,18
신흥동,야탑동,18
성남동,도촌동,18
정자동,도촌동,18
은행동,도촌동,18
중앙동,은행동,18
수진동,하대원동,18
금곡동,운중동,18
분당동,태평동,18
상대원동,야탑동,18
판교동,금곡동,18
태평동,분당동,18
고등동,삼평동,16
백현동,고등동,16
이매동,도촌동,16
삼평동,도촌동,16
분당동,야탑동,16
고등동,도촌동,16
금곡동,백현동,16
수진동,상대원동,16
삼평동,이매동,16
도촌동,금광동,16
신흥동,복정동,16
판교동,서현동,16
상대원동,수진동,16
서현동,성남동,16
판교동,백현동,16
구미동,백현동,16
수내동,백현동,16
분당동,삼평동,16
은행동,수진동,16
금곡동,판교동,16
운중동,수내동,16
하대원동,단대동,16
복정동,수진동,16
