origin_cluster,dest_cluster,n
정자동,정자동,302
태평동,태평동,258
야탑동,야탑동,204
태평동,신흥동,164
태평동,성남동,138
수내동,정자동,138
상대원동,상대원동,130
금광동,신흥동,108
구미동,정자동,106
정자동,구미동,104
서현동,정자동,102
성남동,신흥동,100
금광동,은행동,98
은행동,금광동,90
정자동,서현동,86
정자동,수내동,86
신흥동,신흥동,84
상대원동,금광동,84
위례동,신흥동,80
신흥동,태평동,80
태평동,위례동,74
은행동,신흥동,72
구미동,구미동,70
야탑동,성남동,70
성남동,금광동,68
서현동,서현동,68
상대원동,신흥동,68
태평동,은행동,66
금광동,금광동,66
금광동,상대원동,64
신흥동,성남동,62
정자동,야탑동,62
성남동,태평동,60
금광동,성남동,60
수내동,구미동,60
신흥동,위례동,60
야탑동,신흥동,54
수내동,서현동,54
은행동,은행동,54
성남동,야탑동,54
태평동,야탑동,54
은행동,성남동,54
태평동,상대원동,54
신흥동,금광동,54
야탑동,정자동,52
서현동,야탑동,52
금광동,위례동,50
성남동,위례동,50
상대원동,은행동,50
상대원동,성남동,48
정자동,신흥동,48
금광동,태평동,46
상대원동,위례동,44
은행동,위례동,44
야탑동,서현동,44
성남동,상대원동,42
은행동,상대원동,42
은행동,태평동,38
태평동,금광동,38
서현동,구미동,38
구미동,서현동,38
수내동,수내동,36
성남동,정자동,36
서현동,수내동,34
야탑동,금광동,34
정자동,위례동,34
정자동,성남동,32
신흥동,은행동,32
금광동,야탑동,32
성남동,은행동,30
신흥동,상대원동,28
야탑동,태평동,28
야탑동,상대원동,28
구미동,수내동,28
상대원동,태평동,28
구미동,야탑동,26
위례동,금광동,24
성남동,서현동,24
수내동,야탑동,24
야탑동,구미동,24
정자동,금광동,24
위례동,태평동,24
태평동,서현동,22
서현동,신흥동,20
야탑동,위례동,20
수내동,신흥동,18
신흥동,야탑동,18
상대원동,야탑동,18
서현동,성남동,16
태평동,정자동,14
서현동,태평동,14
은행동,야탑동,14
정자동,태평동,14
위례동,구미동,14
서현동,위례동,14
태평동,구미동,14
야탑동,은행동,14
위례동,은행동,14
수내동,위례동,14
위례동,서현동,14
위례동,성남동,14
상대원동,서현동,12
수내동,성남동,12
위례동,상대원동,12
성남동,수내동,12
야탑동,수내동,12
정자동,상대원동,12
성남동,구미동,10
은행동,정자동,10
구미동,은행동,10
신흥동,수내동,10
수내동,은행동,8
태평동,수내동,8
위례동,정자동,8
수내동,태평동,8
구미동,성남동,8
구미동,신흥동,8
금광동,서현동,6
금광동,정자동,6
구미동,태평동,6
신흥동,서현동,6
서현동,은행동,6
서현동,상대원동,6
은행동,서현동,6
위례동,야탑동,6
금광동,구미동,4
금광동,수내동,4
위례동,수내동,4
구미동,상대원동,4
신흥동,구미동,4
서현동,금광동,4
수내동,금광동,4
구미동,위례동,4
신흥동,정자동,4
정자동,은행동,2
구미동,금광동,2
수내동,상대원동,2
상대원동,정자동,2
상대원동,수내동,2
상대원동,구미동,2
은행동,구미동,2
은행동,수내동,0
