statsYm,dong,전출,전입,순이동
202401,고등동,40,70,30
202402,고등동,46,85,39
202403,고등동,55,60,5
202404,고등동,73,66,-7
202405,고등동,65,71,6
202406,고등동,59,51,-8
202401,구미1동,78,75,-3
202402,구미1동,111,88,-23
202403,구미1동,90,90,0
202404,구미1동,70,72,2
202405,구미1동,93,93,0
202406,구미1동,65,78,13
202401,구미동,135,117,-18
202402,구미동,128,140,12
202403,구미동,97,118,21
202404,구미동,111,100,-11
202405,구미동,100,79,-21
202406,구미동,111,100,-11
202401,금곡동,105,136,31
202402,금곡동,120,127,7
202403,금곡동,134,142,8
202404,금곡동,98,103,5
202405,금곡동,117,134,17
202406,금곡동,111,115,4
202401,금광1동,89,102,13
202402,금광1동,88,116,28
202403,금광1동,78,74,-4
202404,금광1동,61,62,1
202405,금광1동,54,58,4
202406,금광1동,45,66,21
202401,금광2동,103,105,2
202402,금광2동,114,100,-14
202403,금광2동,145,117,-28
202404,금광2동,136,104,-32
202405,금광2동,100,88,-12
202406,금광2동,123,108,-15
202401,단대동,55,56,1
202402,단대동,80,59,-21
202403,단대동,69,63,-6
202404,단대동,78,82,4
202405,단대동,69,84,15
202406,단대동,60,63,3
202401,도촌동,93,69,-24
202402,도촌동,109,122,13
202403,도촌동,97,128,31
202404,도촌동,96,94,-2
202405,도촌동,99,87,-12
202406,도촌동,87,77,-10
202401,백현동,122,129,7
202402,백현동,96,107,11
202403,백현동,132,109,-23
202404,백현동,106,82,-24
202405,백현동,112,98,-14
202406,백현동,59,107,48
202401,복정동,140,96,-44
202402,복정동,158,142,-16
202403,복정동,114,102,-12
202404,복정동,91,84,-7
202405,복정동,75,74,-1
202406,복정동,76,50,-26
202401,분당동,131,85,-46
202402,분당동,117,121,4
202403,분당동,117,111,-6
202404,분당동,136,92,-44
202405,분당동,101,70,-31
202406,분당동,94,65,-29
202401,산성동,24,10,-14
202402,산성동,14,16,2
202403,산성동,19,40,21
202404,산성동,15,17,2
202405,산성동,17,25,8
202406,산성동,14,15,1
202401,삼평동,103,130,27
202402,삼평동,126,132,6
202403,삼평동,107,98,-9
202404,삼평동,73,107,34
202405,삼평동,83,80,-3
202406,삼평동,74,69,-5
202401,상대원1동,105,98,-7
202402,상대원1동,92,94,2
202403,상대원1동,96,119,23
202404,상대원1동,112,78,-34
202405,상대원1동,92,53,-39
202406,상대원1동,103,74,-29
202401,상대원2동,27,18,-9
202402,상대원2동,19,10,-9
202403,상대원2동,15,11,-4
202404,상대원2동,6,8,2
202405,상대원2동,11,6,-5
202406,상대원2동,19,7,-12
202401,상대원3동,54,41,-13
202402,상대원3동,41,44,3
202403,상대원3동,65,51,-14
202404,상대원3동,38,46,8
202405,상대원3동,37,40,3
202406,상대원3동,53,45,-8
202401,서현1동,178,128,-50
202402,서현1동,189,169,-20
202403,서현1동,149,123,-26
202404,서현1동,136,118,-18
202405,서현1동,116,135,19
202406,서현1동,129,117,-12
202401,서현2동,54,53,-1
202402,서현2동,100,97,-3
202403,서현2동,67,63,-4
202404,서현2동,56,51,-5
202405,서현2동,55,50,-5
202406,서현2동,58,60,2
202401,성남동,237,206,-31
202402,성남동,201,262,61
202403,성남동,236,281,45
202404,성남동,239,234,-5
202405,성남동,217,216,-1
202406,성남동,179,208,29
202401,수내1동,84,77,-7
202402,수내1동,100,87,-13
202403,수내1동,91,79,-12
202404,수내1동,89,65,-24
202405,수내1동,86,73,-13
202406,수내1동,76,53,-23
202401,수내2동,20,13,-7
202402,수내2동,23,10,-13
202403,수내2동,27,9,-18
202404,수내2동,15,7,-8
202405,수내2동,8,6,-2
202406,수내2동,5,12,7
202401,수내3동,71,32,-39
202402,수내3동,67,42,-25
202403,수내3동,56,49,-7
202404,수내3동,71,46,-25
202405,수내3동,58,32,-26
202406,수내3동,50,26,-24
202401,수진1동,45,25,-20
202402,수진1동,48,29,-19
202403,수진1동,55,24,-31
202404,수진1동,68,35,-33
202405,수진1동,34,36,2
202406,수진1동,39,19,-20
202401,수진2동,75,77,2
202402,수진2동,75,54,-21
