statsYm,sgg,전출,전입,순이동
202401,성남시 분당구,2424,2335,-89
202402,성남시 분당구,2680,2557,-123
202403,성남시 분당구,2352,2325,-27
202404,성남시 분당구,2196,2072,-124
202405,성남시 분당구,2062,1944,-118
202406,성남시 분당구,1747,1798,51
202401,성남시 수정구,1233,1679,446
202402,성남시 수정구,1386,1630,244
202403,성남시 수정구,1423,1606,183
202404,성남시 수정구,1315,1430,115
202405,성남시 수정구,1116,1265,149
202406,성남시 수정구,1076,1047,-29
202401,성남시 중원구,1150,1070,-80
202402,성남시 중원구,1107,1289,182
202403,성남시 중원구,1206,1266,60
202404,성남시 중원구,1088,1072,-16
202405,성남시 중원구,973,897,-76
202406,성남시 중원구,924,953,29
