origin_sido,origin_sgg,dest_dong,n
서울특별시,송파구,위례동,126
서울특별시,송파구,신흥2동,94
서울특별시,강남구,신흥2동,69
경기도,광주시,성남동,63
경기도,용인시 수지구,금곡동,61
경기도,하남시,위례동,59
경기도,용인시 수지구,구미동,56
서울특별시,강남구,위례동,50
경기도,용인시 수지구,정자1동,47
서울특별시,송파구,성남동,37
경기도,용인시 수지구,운중동,36
서울특별시,송파구,복정동,33
경기도,광주시,신흥2동,32
경기도,용인시 기흥구,구미동,32
경기도,광주시,야탑3동,29
경기도,화성시,정자1동,29
경기도,용인시 수지구,신흥2동,29
서울특별시,관악구,정자1동,29
서울특별시,관악구,복정동,28
경기도,용인시 수지구,구미1동,27
경기도,용인시 기흥구,위례동,27
서울특별시,관악구,위례동,27
서울특별시,강동구,위례동,26
경기도,광주시,상대원1동,26
경기도,용인시 수지구,삼평동,26
경기도,광주시,신흥3동,26
경기도,광주시,은행2동,24
경기도,하남시,신흥2동,24
서울특별시,강동구,신흥2동,24
경기도,용인시 수지구,정자2동,23
경기도,수원시 영통구,정자1동,23
경기도,광주시,서현1동,23
경기도,용인시 수지구,정자3동,23
경기도,용인시 기흥구,정자1동,23
서울특별시,강남구,복정동,22
서울특별시,서초구,정자1동,22
서울특별시,관악구,성남동,22
경기도,용인시 수지구,위례동,22
경기도,광주시,분당동,22
경기도,화성시,성남동,22
경기도,수원시 영통구,신흥2동,21
서울특별시,강남구,서현1동,20
서울특별시,강남구,정자1동,20
경기도,광주시,위례동,20
경기도,용인시 기흥구,구미1동,20
경기도,평택시,성남동,19
경기도,광주시,중앙동,19
경기도,용인시 수지구,서현1동,19
경기도,용인시 수지구,성남동,19
경기도,광주시,신흥1동,19
서울특별시,송파구,구미동,19
경기도,수원시 영통구,구미동,18
경기도,광주시,태평2동,18
경기도,남양주시,성남동,18
경기도,수원시 영통구,성남동,18
서울특별시,서초구,운중동,18
경기도,용인시 기흥구,성남동,18
서울특별시,관악구,금곡동,18
경기도,수원시 영통구,금곡동,18
경기도,용인시 기흥구,정자2동,17
경기도,수원시 영통구,위례동,17
경기도,용인시 기흥구,신흥2동,17
서울특별시,송파구,야탑3동,17
서울특별시,강남구,운중동,17
경기도,용인시 기흥구,서현1동,16
서울특별시,강남구,금곡동,16
서울특별시,영등포구,신흥2동,16
서울특별시,용산구,정자1동,16
서울특별시,송파구,금광2동,16
경기도,용인시 수지구,수내1동,16
서울특별시,송파구,삼평동,16
서울특별시,송파구,수내1동,16
서울특별시,동대문구,정자1동,15
