dong_cluster,n,spearman_r,spearman_p
운중동,5,0.9999999999999999,1.4042654220543672e-24
고등동,5,0.7181848464596079,0.1717953049079889
상대원동,5,0.7,0.1881204043741873
성남동,5,0.6668859288553503,0.21889398131323154
금곡동,5,0.39999999999999997,0.5046315754686911
중앙동,5,0.39999999999999997,0.5046315754686911
판교동,5,0.3,0.6238376647810728
수내동,5,0.3,0.6238376647810728
산성동,5,0.15789473684210528,0.7998006663544925
신흥동,5,0.10259783520851543,0.8695979205185651
금광동,5,0.09999999999999999,0.8728885715695383
양지동,5,0.051298917604257706,0.9347128481082341
삼평동,5,0.0,1.0
복정동,5,0.0,1.0
도촌동,5,-0.09999999999999999,0.8728885715695383
백현동,5,-0.09999999999999999,0.8728885715695383
시흥동,5,-0.09999999999999999,0.8728885715695383
구미동,5,-0.3,0.6238376647810728
이매동,5,-0.3,0.6238376647810728
분당동,5,-0.35909242322980395,0.5528147466433505
야탑동,5,-0.35909242322980395,0.5528147466433505
단대동,5,-0.49999999999999994,0.39100221895577053
하대원동,5,-0.49999999999999994,0.39100221895577053
수진동,5,-0.6,0.28475697986529375
태평동,5,-0.6,0.28475697986529375
은행동,5,-0.6668859288553503,0.21889398131323154
정자동,5,-0.7999999999999999,0.10408803866182788
서현동,5,-0.8720815992723809,0.05385421772754211
