topic_group,horizon_months,n,pearson_r,pearson_p,spearman_r,spearman_p,slope,slope_p,r2,status,method
보행/도로안전,3,0,,,,,,,,insufficient_data,rolling_window_pool
보행/도로안전,6,0,,,,,,,,insufficient_data,rolling_window_pool
불법광고물,3,17,-0.34807673240025694,0.17096389485459143,-0.09803921568627452,0.708151309718605,-2.5250839582088664,0.17096389485459149,0.12115741163844018,ok,rolling_window_pool
불법광고물,6,0,,,,,,,,insufficient_data,rolling_window_pool
불법주정차,3,62,-0.01902966949193778,0.8832870252163095,0.11364609302208457,0.37913388586428376,-0.14408828323799458,0.8832870252163099,0.00036212832097270997,ok,rolling_window_pool
불법주정차,6,10,-0.2726321748743363,0.44600332987508684,-0.18787878787878787,0.603217610029209,-1.8961832866237984,0.4460033298750872,0.07432830277671076,ok,rolling_window_pool
생활환경,3,5,-0.9856368382355108,0.0020619163549036265,-0.8999999999999998,0.03738607346849874,-9.377443255172476,0.002061916354903614,0.9714799768868945,ok,rolling_window_pool
생활환경,6,0,,,,,,,,insufficient_data,rolling_window_pool
시설노후/파손,3,110,-0.03928651731895569,0.6836474688552386,-0.050149567324565686,0.6028599190860453,-0.24953511135502524,0.6836474688552341,0.001543430443052607,ok,rolling_window_pool
시설노후/파손,6,27,0.03690291565425279,0.8550008003296533,0.052503052503052504,0.7947990778829718,0.2619674671846968,0.8550008003296555,0.001361825183784915,ok,rolling_window_pool
