month,topic_group,complaint_count,month_total,topic_share
202401,공원/녹지,4,1039,0.0038498556304138597
202401,불법광고물,16,1039,0.015399422521655439
202401,불법주정차,63,1039,0.06063522617901829
202401,생활환경,8,1039,0.007699711260827719
202401,시설노후/파손,948,1039,0.9124157844080847
202402,공원/녹지,2,983,0.002034587995930824
202402,불법광고물,22,983,0.022380467955239063
202402,불법주정차,63,983,0.06408952187182096
202402,생활환경,7,983,0.007121057985757884
202402,시설노후/파손,889,983,0.9043743641912513
202403,공원/녹지,2,1305,0.0015325670498084292
202403,불법광고물,18,1305,0.013793103448275862
202403,불법주정차,60,1305,0.04597701149425287
202403,생활환경,11,1305,0.00842911877394636
202403,시설노후/파손,1214,1305,0.9302681992337165
202404,공원/녹지,3,1339,0.0022404779686333084
202404,불법광고물,23,1339,0.01717699775952203
202404,불법주정차,73,1339,0.05451829723674384
202404,생활환경,11,1339,0.008215085884988798
202404,시설노후/파손,1229,1339,0.9178491411501121
202405,공원/녹지,1,4133,0.00024195499637067505
202405,기타,1,4133,0.00024195499637067505
202405,보행/도로안전,1,4133,0.00024195499637067505
202405,불법광고물,1,4133,0.00024195499637067505
202405,불법주정차,36,4133,0.008710379869344302
202405,생활환경,5,4133,0.0012097749818533753
202405,시설노후/파손,4088,4133,0.9891120251633196
202406,공원/녹지,11,1160,0.009482758620689655
202406,불법광고물,16,1160,0.013793103448275862
202406,불법주정차,62,1160,0.05344827586206897
202406,생활환경,22,1160,0.01896551724137931
202406,시설노후/파손,1049,1160,0.9043103448275862
202407,불법광고물,7,587,0.01192504258943782
202407,시설노후/파손,580,587,0.9880749574105622
202408,공원/녹지,5,190,0.02631578947368421
202408,교통서비스,4,190,0.021052631578947368
202408,기타,27,190,0.14210526315789473
202408,보행/도로안전,3,190,0.015789473684210527
202408,불법광고물,2,190,0.010526315789473684
202408,불법주정차,14,190,0.07368421052631578
202408,생활환경,26,190,0.1368421052631579
202408,시설노후/파손,109,190,0.5736842105263158
202409,공원/녹지,4,895,0.004469273743016759
202409,불법광고물,6,895,0.0067039106145251395
202409,불법주정차,93,895,0.10391061452513967
202409,생활환경,13,895,0.01452513966480447
202409,시설노후/파손,779,895,0.870391061452514
202410,공원/녹지,2,1235,0.0016194331983805667
202410,불법광고물,21,1235,0.01700404858299595
202410,불법주정차,99,1235,0.08016194331983806
202410,생활환경,10,1235,0.008097165991902834
202410,시설노후/파손,1103,1235,0.8931174089068826
202411,공원/녹지,4,1054,0.003795066413662239
202411,불법광고물,13,1054,0.012333965844402278
202411,불법주정차,106,1054,0.10056925996204934
202411,생활환경,11,1054,0.010436432637571158
202411,시설노후/파손,920,1054,0.872865275142315
202412,공원/녹지,7,956,0.007322175732217573
202412,불법광고물,8,956,0.008368200836820083
202412,불법주정차,101,956,0.10564853556485355
202412,생활환경,12,956,0.012552301255230125
202412,시설노후/파손,828,956,0.8661087866108786
