month,dong_cluster,youth_in,youth_out,youth_net,youth_pop,total_pop,monthly_outflow_rate,month_dt,complaint_count,processed_count,processing_days_median,parking_count,parking_share,processed_rate,complaints_per_1000_totalpop_month,negative_net_flag,topic_group,complaint_count_topic,month_cluster_total,topic_share
202401,고등동,70,40,30,2438,11670,-1.2305168170631664,2024-01-01,3.0,3.0,0.0,0.0,0.0,1.0,0.2570694087403599,0,시설노후/파손,3.0,3.0,1.0
202402,고등동,85,46,39,2438,11670,-1.5996718621821164,2024-02-01,1.0,3.0,3.0,0.0,0.0,1.0,0.2570694087403599,0,생활환경,1.0,3.0,0.3333333333333333
202402,고등동,85,46,39,2438,11670,-1.5996718621821164,2024-02-01,2.0,3.0,3.0,0.0,0.0,1.0,0.2570694087403599,0,시설노후/파손,2.0,3.0,0.6666666666666666
202403,고등동,60,55,5,2438,11670,-0.20508613617719443,2024-03-01,1.0,10.0,1.0,1.0,0.0833333333333333,0.8333333333333334,1.0282776349614395,0,불법주정차,1.0,12.0,0.0833333333333333
202403,고등동,60,55,5,2438,11670,-0.20508613617719443,2024-03-01,11.0,10.0,1.0,1.0,0.0833333333333333,0.8333333333333334,1.0282776349614395,0,시설노후/파손,11.0,12.0,0.9166666666666666
202404,고등동,66,73,-7,2438,11670,0.2871205906480722,2024-04-01,9.0,8.0,0.0,0.0,0.0,0.8888888888888888,0.7712082262210798,1,시설노후/파손,9.0,9.0,1.0
202405,고등동,71,65,6,2438,11670,-0.2461033634126333,2024-05-01,1.0,10.0,0.0,1.0,0.0909090909090909,0.9090909090909091,0.9425878320479864,0,불법주정차,1.0,11.0,0.0909090909090909
202405,고등동,71,65,6,2438,11670,-0.2461033634126333,2024-05-01,10.0,10.0,0.0,1.0,0.0909090909090909,0.9090909090909091,0.9425878320479864,0,시설노후/파손,10.0,11.0,0.9090909090909092
202406,고등동,51,59,-8,2438,11670,0.3281378178835111,2024-06-01,7.0,7.0,0.0,0.0,0.0,1.0,0.5998286203941731,1,시설노후/파손,7.0,7.0,1.0
202401,구미동,192,213,-21,8870,43891,0.23675310033821872,2024-01-01,1.0,29.0,0.0,7.0,0.2258064516129032,0.9354838709677419,0.7062951402337609,1,불법광고물,1.0,31.0,0.032258064516129
202401,구미동,192,213,-21,8870,43891,0.23675310033821872,2024-01-01,7.0,29.0,0.0,7.0,0.2258064516129032,0.9354838709677419,0.7062951402337609,1,불법주정차,7.0,31.0,0.2258064516129032
202401,구미동,192,213,-21,8870,43891,0.23675310033821872,2024-01-01,23.0,29.0,0.0,7.0,0.2258064516129032,0.9354838709677419,0.7062951402337609,1,시설노후/파손,23.0,31.0,0.7419354838709677
202402,구미동,228,239,-11,8870,43891,0.12401352874859076,2024-02-01,1.0,23.0,0.0,2.0,0.0769230769230769,0.8846153846153846,0.5923765692283156,1,공원/녹지,1.0,26.0,0.0384615384615384
202402,구미동,228,239,-11,8870,43891,0.12401352874859076,2024-02-01,2.0,23.0,0.0,2.0,0.0769230769230769,0.8846153846153846,0.5923765692283156,1,불법주정차,2.0,26.0,0.0769230769230769
202402,구미동,228,239,-11,8870,43891,0.12401352874859076,2024-02-01,23.0,23.0,0.0,2.0,0.0769230769230769,0.8846153846153846,0.5923765692283156,1,시설노후/파손,23.0,26.0,0.8846153846153846
202403,구미동,208,187,21,8870,43891,-0.23675310033821872,2024-03-01,1.0,20.0,0.0,2.0,0.0689655172413793,0.6896551724137931,0.6607277118315827,0,불법광고물,1.0,29.0,0.0344827586206896
202403,구미동,208,187,21,8870,43891,-0.23675310033821872,2024-03-01,2.0,20.0,0.0,2.0,0.0689655172413793,0.6896551724137931,0.6607277118315827,0,불법주정차,2.0,29.0,0.0689655172413793
202403,구미동,208,187,21,8870,43891,-0.23675310033821872,2024-03-01,26.0,20.0,0.0,2.0,0.0689655172413793,0.6896551724137931,0.6607277118315827,0,시설노후/파손,26.0,29.0,0.896551724137931
202404,구미동,172,181,-9,8870,43891,0.10146561443066515,2024-04-01,3.0,17.0,0.0,1.0,0.0434782608695652,0.7391304347826086,0.5240254266250485,1,불법광고물,3.0,23.0,0.1304347826086956
202404,구미동,172,181,-9,8870,43891,0.10146561443066515,2024-04-01,1.0,17.0,0.0,1.0,0.0434782608695652,0.7391304347826086,0.5240254266250485,1,불법주정차,1.0,23.0,0.0434782608695652
