topic_group,horizon_months,dong_cluster,end_month,topic_share_window,outflow_window
불법광고물,3,구미동,202404,0.0657252019151714,0.033821871476888386
불법광고물,3,금곡동,202404,0.0774087024087024,-0.12818047811318337
불법광고물,3,금광동,202404,0.013093624983868866,0.007910140800506227
불법광고물,3,금광동,202406,0.013176854280581301,0.04350577440278435
불법광고물,3,도촌동,202404,0.19796650717703346,-0.315884476534296
불법광고물,3,삼평동,202403,0.1098222764889431,-0.19748210318439888
불법광고물,3,서현동,202404,0.08139784722655409,0.27497376894967257
불법광고물,3,서현동,202406,0.056217248671342535,0.22793878215564964
불법광고물,3,성남동,202404,0.011090351633611167,-0.10250102501025009
불법광고물,3,성남동,202405,0.007046557619526665,-0.22550225502255025
불법광고물,3,수내동,202403,0.03829360020397753,0.6955749593014652
불법광고물,3,수진동,202404,0.03351212279783703,0.8870910510254774
불법광고물,3,수진동,202406,0.035184363600512636,0.667092470371159
불법광고물,3,야탑동,202404,0.027292968469439034,0.318157502041276
불법광고물,3,야탑동,202406,0.0324283559577677,0.11262212461638088
불법광고물,3,정자동,202404,0.06206563706563704,0.27586497357171436
불법광고물,3,정자동,202406,0.0575107716412064,0.1389854065323141
불법주정차,3,구미동,202403,0.12389834859245313,0.04133784291619692
불법주정차,3,구미동,202404,0.06312228501134047,-0.003757985719654272
불법주정차,3,구미동,202405,0.03909156532844687,0.033821871476888386
불법주정차,3,구미동,202406,0.06795491143317227,0.10522360015031944
불법주정차,3,금곡동,202403,0.3648018648018648,-0.29481509966032177
불법주정차,3,금곡동,202404,0.30419580419580416,-0.12818047811318337
불법주정차,3,금곡동,202405,0.142905481615159,-0.19227071716977504
불법주정차,3,금곡동,202406,0.08681573802541546,-0.16663462154713837
불법주정차,3,금광동,202403,0.07046311950158096,0.011865211200759377
불법주정차,3,금광동,202404,0.08247757297944909,0.19379844961240308
불법주정차,3,금광동,202405,0.05873137237154636,0.28080999841797183
불법주정차,3,금광동,202406,0.07094243989808496,0.1305173232083531
불법주정차,3,단대동,202406,0.09541569541569539,-0.012805736970162638
불법주정차,3,백현동,202403,0.0786435786435786,0.03439262622093823
불법주정차,3,백현동,202404,0.11327561327561324,0.24762690879075525
불법주정차,3,백현동,202405,0.1076479076479076,0.4195900398954464
불법주정차,3,백현동,202406,0.11558441558441553,-0.06878525244187646
불법주정차,3,복정동,202406,0.1132586367880485,0.37926675094816686
