dong,청년_전입_6m,청년_전출_6m,청년_순이동_6m,청년_인구,청년_순유출률,청년_전입,청년_전출
상대원2동,60,97,-37,491,7.535641547861507,60,97
수진1동,168,289,-121,1900,6.368421052631579,168,289
수내3동,227,373,-146,2305,6.33405639913232,227,373
태평4동,291,433,-142,2292,6.195462478184991,291,433
태평1동,492,691,-199,3353,5.934983596779004,492,691
이매2동,147,256,-109,1961,5.558388577256502,147,256
정자동,458,607,-149,3185,4.67817896389325,458,607
수내2동,57,98,-41,1135,3.612334801762114,57,98
태평3동,289,364,-75,2132,3.5178236397748592,289,364
분당동,544,696,-152,4612,3.295750216825672,544,696
태평2동,397,491,-94,2900,3.2413793103448274,397,491
야탑2동,296,369,-73,2493,2.9281989570798235,296,369
수내1동,434,526,-92,3317,2.77359059391016,434,526
복정동,548,654,-106,3955,2.680151706700379,548,654
은행2동,537,624,-87,4081,2.131830433717226,537,624
금광2동,622,721,-99,4859,2.037456266721548,622,721
상대원1동,516,600,-84,4232,1.984877126654064,516,600
이매1동,471,556,-85,4384,1.9388686131386863,471,556
서현1동,790,897,-107,5987,1.787205612159679,790,897
야탑1동,548,608,-60,3613,1.6606698034874066,548,608
양지동,186,213,-27,1700,1.588235294117647,186,213
신흥1동,317,353,-36,2334,1.5424164524421593,317,353
정자1동,997,1082,-85,6653,1.2776191191943485,997,1082
은행1동,334,361,-27,2174,1.2419503219871204,334,361
상대원3동,267,288,-21,1921,1.0931806350858928,267,288
야탑3동,750,806,-56,5733,0.9768009768009768,750,806
중앙동,301,323,-22,2752,0.7994186046511629,301,323
판교동,416,442,-26,3699,0.7028926736955934,416,442
구미동,654,682,-28,5547,0.5047773571299802,654,682
서현2동,374,390,-16,3226,0.4959702417854928,374,390
구미1동,496,507,-11,3323,0.331026181161601,496,507
수진2동,434,443,-9,2797,0.321773328566321,434,443
단대동,407,411,-4,2603,0.1536688436419516,407,411
도촌동,577,581,-4,4432,0.0902527075812274,577,581
신촌동,133,134,-1,1195,0.0836820083682008,133,134
백현동,632,627,5,4846,-0.1031778786628146,632,627
하대원동,464,457,7,3670,-0.1907356948228882,464,457
정자2동,439,417,22,2912,-0.7554945054945055,439,417
정자3동,424,393,31,3079,-1.006820396232543,424,393
성남동,1407,1309,98,8130,-1.205412054120541,1407,1309
삼평동,616,566,50,4051,-1.2342631449024932,616,566
시흥동,210,196,14,1132,-1.2367491166077738,210,196
금곡동,757,685,72,5201,-1.3843491636223804,757,685
금광1동,478,415,63,3569,-1.7652003362286353,478,415
운중동,699,566,133,6306,-2.1091024421186173,699,566
산성동,123,103,20,807,-2.478314745972739,123,103
고등동,403,338,65,2438,-2.6661197703035278,403,338
신흥3동,403,339,64,2209,-2.897238569488456,403,339
위례동,1292,826,466,7242,-6.434686550676609,1292,826
신흥2동,1311,455,856,5804,-14.748449345279118,1311,455
