dong_cluster,policy_tier,tier_reason,priority_score,youth_outflow_rate,negative_month_share,avg_monthly_outflow_rate,monthly_outflow_volatility,complaints_per_1000_totalpop,internal_moves_per_1000_youth,complaint_count,youth_pop,total_pop,months_observed,flag_high_outflow,flag_persistent_outflow,flag_high_friction
은행동,A_즉시개입,"유출률 상위, 월별 순유출 지속, 민원강도 높음",0.8698980423158262,1.8225419664268585,0.8333333333333334,0.3037569944044764,0.4299341023557886,32.52142230618717,95.92326139088728,964,6255,29642,6,True,True,True
수진동,A_즉시개입,"유출률 상위, 월별 순유출 지속, 민원강도 높음",0.760633798981542,2.767724079199489,0.8333333333333334,0.4612873465332482,0.5575698581767933,14.981573465790738,97.93485203321268,374,4697,24964,6,True,True,True
상대원동,A_즉시개입,"유출률 상위, 월별 순유출 지속, 민원강도 높음",0.6577132759181625,2.1372667068031306,0.8333333333333334,0.3562111178005218,0.3142296812071845,16.025198242754122,95.1234196267309,580,6644,36193,6,True,True,True
태평동,B_우선개입,"유출률 상위, 월별 순유출 지속",1.2823738594763854,4.776622646810901,1.0,0.7961037744684836,0.3892891996904433,11.43076798575706,116.8867659454903,565,10677,49428,6,True,True,False
수내동,B_우선개입,"유출률 상위, 월별 순유출 지속",0.9414306934665104,4.12905135415125,1.0,0.6881752256918752,0.1212292284521083,11.420552154661376,77.54920822850379,472,6757,41329,6,True,True,False
복정동,B_우선개입,"유출률 상위, 월별 순유출 지속",0.6741740488393404,2.680151706700379,1.0,0.4466919511167299,0.3899602188870461,13.515509601181684,66.75094816687736,183,3955,13540,6,True,True,False
이매동,B_우선개입,"유출률 상위, 월별 순유출 지속",0.6402421629316638,3.0575256107171,1.0,0.5095876017861833,0.3600378441372444,5.84419066001823,70.92198581560284,218,6345,37302,6,True,True,False
분당동,B_우선개입,"유출률 상위, 월별 순유출 지속",0.6102619824829617,3.295750216825672,0.8333333333333334,0.5492917028042787,0.4396092601500937,8.170135895225192,76.32263660017347,199,4612,24357,6,True,True,False
서현동,B_우선개입,"월별 순유출 지속, 민원강도 높음",0.3975441393488257,1.3350700097688049,0.8333333333333334,0.2225116682948008,0.2344864918882675,16.798108905298832,71.4208184087702,803,9213,47803,6,False,True,True
성남동,C_모니터링,민원강도 높음,0.6779820478617489,-1.205412054120541,0.5,-0.2009020090200901,0.4251408412239678,70.99270256668345,91.2669126691267,2257,8130,31792,6,False,False,True
정자동,C_모니터링,월별 순유출 지속,0.3650724429409908,1.1434708446522206,0.8333333333333334,0.1905784741087034,0.1921363614247883,12.47683257675468,82.50679133236464,929,15829,74458,6,False,True,False
금광동,C_모니터링,민원강도 높음,0.2452810490827171,0.4271476032273374,0.5,0.0711912672045562,0.253926608436553,29.05048806688151,84.48030374940674,1244,8428,42822,6,False,False,True
야탑동,C_모니터링,유출률 상위,0.2144479240573244,1.596418616437199,0.5,0.2660697694061998,0.3103845628674119,14.51378809869376,85.64912577075766,850,11839,58565,6,True,False,False
중앙동,C_모니터링,민원강도 높음,0.1880202989847046,0.7994186046511629,0.6666666666666666,0.1332364341085271,0.2811538981095766,15.05441354292624,78.48837209302326,249,2752,16540,6,False,False,True
판교동,C_모니터링,민원강도 높음,0.0865192090516554,0.7028926736955934,0.6666666666666666,0.1171487789492655,0.5416770239804022,14.7773894544902,64.882400648824,389,3699,26324,6,False,False,True
단대동,C_모니터링,민원강도 높음,-0.0050163248632101,0.1536688436419516,0.3333333333333333,0.0256114739403252,0.4627108122683556,18.50801304779464,100.65309258547828,261,2603,14102,6,False,False,True
하대원동,C_모니터링,민원강도 높음,-0.1222041947819333,-0.1907356948228882,0.3333333333333333,-0.0317892824704813,0.3995024958398592,22.242769815585348,80.65395095367847,433,3670,19467,6,False,False,True
시흥동,C_모니터링,민원강도 높음,-0.1795906152201845,-1.2367491166077738,0.3333333333333333,-0.2061248527679623,0.8089995204473486,27.83964365256125,84.80565371024736,100,1132,3592,6,False,False,True
삼평동,C_모니터링,민원강도 높음,-0.2349151624138957,-1.2342631449024932,0.5,-0.2057105241504155,0.4442432958572796,19.430272108843536,74.5494939521106,457,4051,23520,6,False,False,True
양지동,D_유지,위험 신호 낮음,0.2826880589894775,1.588235294117647,0.6666666666666666,0.2647058823529412,0.7316379689758171,14.137073060393575,75.29411764705881,125,1700,8842,6,False,False,False
구미동,D_유지,위험 신호 낮음,-0.0315495902480873,0.439684329199549,0.6666666666666666,0.0732807215332581,0.1800659553237229,12.62217766740334,57.94813979706877,554,8870,43891,6,False,False,False
도촌동,D_유지,위험 신호 낮음,-0.1131012751707194,0.0902527075812274,0.6666666666666666,0.0150421179302045,0.4457393524410541,3.698512808533832,77.16606498194946,95,4432,25686,6,False,False,False
백현동,D_유지,위험 신호 낮음,-0.1832460826488582,-0.1031778786628146,0.5,-0.017196313110469,0.5666961429799175,12.677078162587346,70.160957490714,332,4846,26189,6,False,False,False
신촌동,D_유지,위험 신호 낮음,-0.4469346547150924,0.0836820083682008,0.5,0.0139470013947001,1.070889966197019,0.8984725965858041,51.88284518828452,4,1195,4452,6,False,False,False
고등동,D_유지,위험 신호 낮음,-0.733635604092147,-2.666119770303528,0.3333333333333333,-0.4443532950505879,0.797641830476954,7.112253641816624,85.31583264971287,83,2438,11670,6,False,False,False
산성동,D_유지,위험 신호 낮음,-0.8289531929650015,-2.478314745972739,0.1666666666666666,-0.413052457662123,1.4055926912163204,7.31094356865433,86.74101610904584,32,807,4377,6,False,False,False
금곡동,D_유지,위험 신호 낮음,-0.8908556653729351,-1.3843491636223804,0.0,-0.23072486060373,0.1998135905674536,8.662391720103498,66.14112670640262,231,5201,26667,6,False,False,False
운중동,D_유지,위험 신호 낮음,-1.0809010393988026,-2.1091024421186173,0.1666666666666666,-0.3515170736864362,0.3730375335725417,6.371406371406372,37.10751665080876,246,6306,38610,6,False,False,False
위례동,D_유지,위험 신호 낮음,-1.9948879278589564,-6.434686550676609,0.0,-1.0724477584461014,0.799294992409463,0.0221004243281471,41.42502071251035,1,7242,45248,6,False,False,False
신흥동,D_유지,위험 신호 낮음,-2.0484917049800124,-8.543539190103413,0.0,-1.4239231983505685,1.4777184815245503,9.404852090685688,65.13965400599207,509,10347,54121,6,False,False,False
