iteration,stage,feature,n,pearson_r,spearman_r,abs_spearman_r
2,engineered_features,complaint_count__x__internal_moves_per_1000_youth,30,0.1484990866683376,0.4242491657397108,0.4242491657397108
1,raw_features,complaint_count,30,0.1053987125586332,0.3245828698553948,0.3245828698553948
2,engineered_features,complaint_count,30,0.1053987125586332,0.3245828698553948,0.3245828698553948
2,engineered_features,complaint_count__z,30,0.1053987125586332,0.3245828698553948,0.3245828698553948
2,engineered_features,complaint_count__log1p,30,0.3742721082526642,0.3245828698553948,0.3245828698553948
1,raw_features,internal_moves_per_1000_youth,30,0.4567654314757513,0.3156840934371523,0.3156840934371523
2,engineered_features,internal_moves_per_1000_youth,30,0.4567654314757513,0.3156840934371523,0.3156840934371523
2,engineered_features,internal_moves_per_1000_youth__z,30,0.4567654314757513,0.3156840934371523,0.3156840934371523
2,engineered_features,internal_moves_per_1000_youth__log1p,30,0.4626284399419816,0.3156840934371523,0.3156840934371523
1,raw_features,processed_count,30,0.1142934440498992,0.2743047830923247,0.2743047830923247
2,engineered_features,processed_count,30,0.1142934440498992,0.2743047830923247,0.2743047830923247
2,engineered_features,processed_count__z,30,0.1142934440498992,0.2743047830923247,0.2743047830923247
2,engineered_features,processed_count__log1p,30,0.3607795493595488,0.2743047830923247,0.2743047830923247
1,raw_features,parking_count,30,0.192847119508056,0.2730513942462332,0.2730513942462332
2,engineered_features,parking_count,30,0.192847119508056,0.2730513942462332,0.2730513942462332
1,raw_features,youth_pop_from_popfile,30,0.0517920528472977,0.2493882091212458,0.2493882091212458
2,engineered_features,youth_pop_from_popfile,30,0.0517920528472977,0.2493882091212458,0.2493882091212458
1,raw_features,top_bucket_share_mean,30,0.2552702562517788,0.2160177975528364,0.2160177975528364
2,engineered_features,top_bucket_share_mean,30,0.2552702562517788,0.2160177975528364,0.2160177975528364
1,raw_features,parking_share,30,-0.4312416659554988,-0.1991101223581757,0.1991101223581757
2,engineered_features,parking_share,30,-0.4312416659554988,-0.1991101223581757,0.1991101223581757
2,engineered_features,complaint_count__div__internal_moves_per_1000_youth,30,0.044199485284486,0.192880978865406,0.192880978865406
1,raw_features,complaints_per_1000_month_mean,30,0.0873005026110544,0.188897542608427,0.188897542608427
2,engineered_features,complaints_per_1000_month_mean,30,0.0873005026110544,0.188897542608427,0.188897542608427
1,raw_features,complaints_per_1000_youth_legacy,30,0.1134206112125841,0.1670745272525028,0.1670745272525028
2,engineered_features,complaints_per_1000_youth_legacy,30,0.1134206112125841,0.1670745272525028,0.1670745272525028
1,raw_features,complaints_per_1000_totalpop,30,0.0641585705456817,0.1528364849833147,0.1528364849833147
2,engineered_features,complaints_per_1000_totalpop,30,0.0641585705456817,0.1528364849833147,0.1528364849833147
1,raw_features,processing_days_median,30,-0.2430350660302961,-0.1149278577150305,0.1149278577150305
2,engineered_features,processing_days_median,30,-0.2430350660302961,-0.1149278577150305,0.1149278577150305
1,raw_features,processed_rate_month_mean,28,-0.0484634928443922,-0.0180623973727422,0.0180623973727422
2,engineered_features,processed_rate_month_mean,28,-0.0484634928443922,-0.0180623973727422,0.0180623973727422
1,raw_features,origin_total_outflow_mean,30,-0.165204189458942,-0.0180220270333128,0.0180220270333128
2,engineered_features,origin_total_outflow_mean,30,-0.165204189458942,-0.0180220270333128,0.0180220270333128
